NP_000012.1	NP_000012.1; XP_016857324.1	467; 448	Pfam	PF01080; PF01080	Presenilin; Presenilin	4.9E-166; 1.3E-107	IPR001108; IPR001108	Peptidase A22A, presenilin; Peptidase A22A, presenilin
NP_000076.2	NP_000076.2; NP_004061.3	687; 687	Pfam	PF00571, PF00654; PF00654, PF00571	CBS domain, Voltage gated chloride channel; Voltage gated chloride channel, CBS domain	2.1E-5, 2.6E-73; 1.4E-74, 9.1E-5	IPR000644, IPR001807; IPR001807, IPR000644	CBS domain, Chloride channel, voltage gated; Chloride channel, voltage gated, CBS domain
NP_000079.2	NP_000079.2; NP_000384.2; NP_000081.2; XP_016874317.1	1464; 1499; 1466; 1535	Pfam	PF00093, PF01391, PF01410; PF01391, PF00093, PF01410; PF01391, PF00093, PF01410; PF01410, PF01391, PF00093	von Willebrand factor type C domain, Collagen triple helix repeat (20 copies), Fibrillar collagen C-terminal domain; Collagen triple helix repeat (20 copies), von Willebrand factor type C domain, Fibrillar collagen C-terminal domain; Collagen triple helix repeat (20 copies), von Willebrand factor type C domain, Fibrillar collagen C-terminal domain; Fibrillar collagen C-terminal domain, Collagen triple helix repeat (20 copies), von Willebrand factor type C domain	1.4E-11, 8.9E-12, 3.0E-112; 3.4E-9, 4.0E-13, 1.5E-105; 2.1E-11, 1.2E-11, 4.2E-107; 2.4E-113, 2.8E-10, 1.3E-11	IPR001007, IPR008160, IPR000885; IPR008160, IPR001007, IPR000885; IPR008160, IPR001007, IPR000885; IPR000885, IPR008160, IPR001007	VWFC domain, Collagen triple helix repeat, Fibrillar collagen, C-terminal; Collagen triple helix repeat, VWFC domain, Fibrillar collagen, C-terminal; Collagen triple helix repeat, VWFC domain, Fibrillar collagen, C-terminal; Fibrillar collagen, C-terminal, Collagen triple helix repeat, VWFC domain
NP_000090.1	NP_000090.1; NP_001890.1; NP_001891.2; NP_001889.2; NP_001313.1	146; 141; 142; 141; 141	Pfam	PF00031; PF00031; PF00031; PF00031; PF00031	Cystatin domain; Cystatin domain; Cystatin domain; Cystatin domain; Cystatin domain	2.4E-29; 4.9E-28; 7.2E-30; 1.2E-29; 7.0E-30	IPR000010; IPR000010; IPR000010; IPR000010; IPR000010	Cystatin domain; Cystatin domain; Cystatin domain; Cystatin domain; Cystatin domain
NP_000091.1	NP_000091.1; NP_005204.1	98; 98	Pfam	PF00031; PF00031	Cystatin domain; Cystatin domain	5.3E-24; 1.0E-25	IPR000010; IPR000010	Cystatin domain; Cystatin domain
NP_000097.3	NP_000097.3; XP_016885819.1; XP_016885820.1	497; 497; 497	Pfam	PF00067; PF00067; PF00067	Cytochrome P450; Cytochrome P450; Cytochrome P450	9.3E-133; 2.4E-131; 2.4E-131	IPR001128; IPR001128; IPR001128	Cytochrome P450; Cytochrome P450; Cytochrome P450
NP_000104.1	NP_000104.1; NP_055321.1	332; 336	Pfam	PF06309; PF06309	Torsin; Torsin	3.4E-55; 4.5E-49	IPR010448; IPR010448	Torsin; Torsin
NP_000137.2	NP_000137.2; NP_002023.2; NP_803431.1; NP_114100.1	175; 183; 242; 183	Pfam	PF00210; PF00210; PF00210; PF00210	Ferritin-like domain; Ferritin-like domain; Ferritin-like domain; Ferritin-like domain	2.9E-29; 2.1E-38; 6.2E-36; 7.3E-31	IPR008331; IPR008331; IPR008331; IPR008331	Ferritin/DPS protein domain; Ferritin/DPS protein domain; Ferritin/DPS protein domain; Ferritin/DPS protein domain
NP_000138.2	NP_000138.2; NP_114409.2	466; 467	Pfam	PF16757, PF01120; PF16757, PF01120	Alpha-L-fucosidase C-terminal domain, Alpha-L-fucosidase; Alpha-L-fucosidase C-terminal domain, Alpha-L-fucosidase	4.2E-25, 1.2E-124; 1.1E-31, 2.7E-127	IPR031919, IPR000933; IPR031919, IPR000933	Alpha-L-fucosidase, C-terminal, Glycoside hydrolase, family 29; Alpha-L-fucosidase, C-terminal, Glycoside hydrolase, family 29
NP_000142.2	NP_000142.2; NP_066999.1	357; 355	Pfam	PF01569; PF01569	PAP2 superfamily; PAP2 superfamily	1.9E-17; 5.5E-13	IPR000326; IPR000326	Phosphatidic acid phosphatase type 2/haloperoxidase; Phosphatidic acid phosphatase type 2/haloperoxidase
NP_000159.3	NP_000159.3; XP_011509271.2	1580; 1670	Pfam	PF00096; PF00096	Zinc finger, C2H2 type; Zinc finger, C2H2 type	3.5E-4; 0.001	IPR013087; IPR013087	Zinc finger C2H2-type; Zinc finger C2H2-type
NP_000160.1	NP_000160.1; NP_001349777.1	429; 411	Pfam	PF17450, PF16499; PF17450, PF16499	Alpha galactosidase A C-terminal beta sandwich domain, Alpha galactosidase A; Alpha galactosidase A C-terminal beta sandwich domain, Alpha galactosidase A	4.7E-32, 2.8E-162; 8.0E-17, 1.9E-143	IPR035373, IPR002241; IPR035373, IPR002241	Alpha galactosidase A, C-terminal beta-sandwich domain, Glycoside hydrolase, family 27; Alpha galactosidase A, C-terminal beta-sandwich domain, Glycoside hydrolase, family 27
NP_000163.2	NP_000163.2; NP_001364224.1; NP_001095856.1; NP_002060.4; NP_006487.1; NP_002061.1; NP_066268.1; NP_002064.1; NP_002063.2; NP_004288.1; NP_002058.2; NP_002059.3	350; 354; 354; 354; 354; 355; 354; 355; 359; 355; 359; 374	Pfam	PF00503; PF00503; PF00503; PF00503; PF00503; PF00503; PF00503; PF00503; PF00503; PF00503; PF00503; PF00503	G-protein alpha subunit; G-protein alpha subunit; G-protein alpha subunit; G-protein alpha subunit; G-protein alpha subunit; G-protein alpha subunit; G-protein alpha subunit; G-protein alpha subunit; G-protein alpha subunit; G-protein alpha subunit; G-protein alpha subunit; G-protein alpha subunit	1.4E-120; 3.5E-124; 1.2E-123; 6.4E-126; 2.1E-123; 4.0E-126; 1.1E-123; 8.4E-118; 5.8E-119; 6.2E-115; 1.0E-115; 1.2E-111	IPR001019; IPR001019; IPR001019; IPR001019; IPR001019; IPR001019; IPR001019; IPR001019; IPR001019; IPR001019; IPR001019; IPR001019	Guanine nucleotide binding protein (G-protein), alpha subunit; Guanine nucleotide binding protein (G-protein), alpha subunit; Guanine nucleotide binding protein (G-protein), alpha subunit; Guanine nucleotide binding protein (G-protein), alpha subunit; Guanine nucleotide binding protein (G-protein), alpha subunit; Guanine nucleotide binding protein (G-protein), alpha subunit; Guanine nucleotide binding protein (G-protein), alpha subunit; Guanine nucleotide binding protein (G-protein), alpha subunit; Guanine nucleotide binding protein (G-protein), alpha subunit; Guanine nucleotide binding protein (G-protein), alpha subunit; Guanine nucleotide binding protein (G-protein), alpha subunit; Guanine nucleotide binding protein (G-protein), alpha subunit
NP_000175.1	NP_000175.1; NP_000550.2; NP_005321.1; NP_000509.1; NP_000510.1	147; 147; 147; 147; 147	Pfam	PF00042; PF00042; PF00042; PF00042; PF00042	Globin; Globin; Globin; Globin; Globin	4.1E-31; 2.0E-30; 3.5E-30; 9.3E-31; 5.7E-31	IPR000971; IPR000971; IPR000971; IPR000971; IPR000971	Globin; Globin; Globin; Globin; Globin
NP_000182.2	NP_000182.2; NP_061909.2	325; 370	Pfam	PF00682; PF00682	HMGL-like; HMGL-like	3.2E-81; 5.8E-66	IPR000891; IPR000891	Pyruvate carboxyltransferase; Pyruvate carboxyltransferase
NP_000184.1	NP_000184.1; NP_002172.2; NP_066382.1	462; 411; 396	Pfam	PF01079, PF01085; PF01085, PF01079; PF01079, PF01085	Hint module, Hedgehog amino-terminal signalling domain; Hedgehog amino-terminal signalling domain, Hint module; Hint module, Hedgehog amino-terminal signalling domain	1.4E-75, 3.7E-89; 3.4E-85, 2.0E-69; 1.6E-71, 1.4E-82	IPR001767, IPR000320; IPR000320, IPR001767; IPR001767, IPR000320	Hedgehog protein, Hint domain, Hedgehog, N-terminal signalling domain; Hedgehog, N-terminal signalling domain, Hedgehog protein, Hint domain; Hedgehog protein, Hint domain, Hedgehog, N-terminal signalling domain
NP_000185.1	NP_000185.1; NP_064585.1	218; 225	Pfam	PF00156; PF00156	Phosphoribosyl transferase domain; Phosphoribosyl transferase domain	4.3E-23; 3.2E-24	IPR000836; IPR000836	Phosphoribosyltransferase domain; Phosphoribosyltransferase domain
NP_000191.1	NP_000191.1; NP_002150.1	51; 57	Pfam	; 	; 	; 	; 	; 
NP_000203.2	NP_000203.2; NP_001269282.1	788; 788	Pfam	PF07965, PF07974, PF08725, PF17205, PF00362, PF18372; PF07974, PF08725, PF18372, PF17205, PF00362, PF07965	Integrin beta tail domain, EGF-like domain, Integrin beta cytoplasmic domain, Integrin plexin domain, Integrin beta chain VWA domain, Integrin beta epidermal growth factor like domain 1; EGF-like domain, Integrin beta cytoplasmic domain, Integrin beta epidermal growth factor like domain 1, Integrin plexin domain, Integrin beta chain VWA domain, Integrin beta tail domain	2.7E-21, 2.9E-5, 1.8E-20, 4.7E-12, 8.1E-112, 2.8E-12; 7.0E-5, 5.0E-19, 9.8E-11, 2.5E-14, 5.7E-109, 1.1E-17	IPR012896, IPR013111, IPR014836, IPR033760, IPR002369, IPR040622; IPR013111, IPR014836, IPR040622, IPR033760, IPR002369, IPR012896	Integrin beta subunit, tail, EGF-like domain, extracellular, Integrin beta subunit, cytoplasmic domain, Integrin beta N-terminal, Integrin beta subunit, VWA domain, Integrin beta, epidermal growth factor-like domain 1; EGF-like domain, extracellular, Integrin beta subunit, cytoplasmic domain, Integrin beta, epidermal growth factor-like domain 1, Integrin beta N-terminal, Integrin beta subunit, VWA domain, Integrin beta subunit, tail
NP_000205.1	NP_000205.1; NP_002217.3	1218; 1238	Pfam	PF00008, PF07657, PF01414, PF07645, PF12661; PF01414, PF12661, PF00008, PF07645, PF07657	EGF-like domain, N terminus of Notch ligand, Delta serrate ligand, Calcium-binding EGF domain, Human growth factor-like EGF; Delta serrate ligand, Human growth factor-like EGF, EGF-like domain, Calcium-binding EGF domain, N terminus of Notch ligand	1.7E-9, 7.9E-29, 4.3E-25, 1.9E-4, 9.6E-5; 2.1E-24, 7.3E-7, 6.7E-8, 1.1E-4, 1.6E-28	IPR000742, IPR011651, IPR001774, IPR001881, IPR013032; IPR001774, IPR013032, IPR000742, IPR001881, IPR011651	EGF-like domain, Notch ligand, N-terminal domain, Delta/Serrate/lag-2 (DSL) protein, EGF-like calcium-binding domain, EGF-like, conserved site; Delta/Serrate/lag-2 (DSL) protein, EGF-like, conserved site, EGF-like domain, EGF-like calcium-binding domain, Notch ligand, N-terminal domain
NP_000208.2	NP_000208.2; XP_016856702.1; NP_005540.1; XP_016874759.1	495; 499; 511; 529	Pfam	PF02214, PF00520; PF02214, PF00520; PF00520, PF02214; PF02214, PF00520	BTB/POZ domain, Ion transport protein; BTB/POZ domain, Ion transport protein; Ion transport protein, BTB/POZ domain; BTB/POZ domain, Ion transport protein	1.8E-28, 6.3E-51; 3.5E-28, 1.1E-50; 5.2E-49, 2.1E-28; 1.7E-26, 1.7E-50	IPR003131, IPR005821; IPR003131, IPR005821; IPR005821, IPR003131; IPR003131, IPR005821	Potassium channel tetramerisation-type BTB domain, Ion transport domain; Potassium channel tetramerisation-type BTB domain, Ion transport domain; Ion transport domain, Potassium channel tetramerisation-type BTB domain; Potassium channel tetramerisation-type BTB domain, Ion transport domain
NP_000209.2	NP_000209.2; NP_004691.2	676; 695	Pfam	PF03520, PF00520; PF03520, PF00520	KCNQ voltage-gated potassium channel, Ion transport protein; KCNQ voltage-gated potassium channel, Ion transport protein	1.3E-24, 1.4E-25; 1.3E-90, 9.6E-27	IPR013821, IPR005821; IPR013821, IPR005821	Potassium channel, voltage dependent, KCNQ, C-terminal, Ion transport domain; Potassium channel, voltage dependent, KCNQ, C-terminal, Ion transport domain
NP_000211.1	NP_000211.1; NP_002232.2; XP_016883832.1	391; 379; 375	Pfam	PF17655, PF01007; PF17655, PF01007; PF01007, PF17655	Inward rectifier potassium channel C-terminal domain, Inward rectifier potassium channel transmembrane domain; Inward rectifier potassium channel C-terminal domain, Inward rectifier potassium channel transmembrane domain; Inward rectifier potassium channel transmembrane domain, Inward rectifier potassium channel C-terminal domain	9.3E-73, 4.6E-59; 1.7E-64, 3.8E-58; 3.4E-57, 1.8E-67	IPR041647, IPR040445; IPR041647, IPR040445; IPR040445, IPR041647	Inward rectifier potassium channel, C-terminal, Potassium channel, inwardly rectifying, transmembrane domain; Inward rectifier potassium channel, C-terminal, Potassium channel, inwardly rectifying, transmembrane domain; Potassium channel, inwardly rectifying, transmembrane domain, Inward rectifier potassium channel, C-terminal
NP_000229.1	NP_000229.1; XP_011510411.1	1159; 1204	Pfam	PF13426, PF00520, PF00027; PF00520, PF13426, PF00027	PAS domain, Ion transport protein, Cyclic nucleotide-binding domain; Ion transport protein, PAS domain, Cyclic nucleotide-binding domain	3.1E-17, 2.4E-35, 2.9E-11; 5.2E-37, 2.4E-18, 3.5E-12	IPR000014, IPR005821, IPR000595; IPR005821, IPR000014, IPR000595	PAS domain, Ion transport domain, Cyclic nucleotide-binding domain; Ion transport domain, PAS domain, Cyclic nucleotide-binding domain
NP_000231.1	NP_000231.1; NP_000889.3	527; 520	Pfam	PF01593; PF01593	Flavin containing amine oxidoreductase; Flavin containing amine oxidoreductase	1.3E-73; 1.7E-72	IPR002937; IPR002937	Amine oxidase; Amine oxidase
NP_000238.1	NP_000238.1; NP_005922.2	383; 383	Pfam	PF00129, PF07654; PF00129, PF07654	Class I Histocompatibility antigen, domains alpha 1 and 2, Immunoglobulin C1-set domain; Class I Histocompatibility antigen, domains alpha 1 and 2, Immunoglobulin C1-set domain	5.6E-24, 3.7E-10; 1.3E-25, 1.8E-10	IPR011161, IPR003597; IPR011161, IPR003597	MHC class I-like antigen recognition-like, Immunoglobulin C1-set; MHC class I-like antigen recognition-like, Immunoglobulin C1-set
NP_000241.1	NP_000241.1; NP_000493.1; NP_006142.1	745; 715; 712	Pfam	PF03098; PF03098; PF03098	Animal haem peroxidase; Animal haem peroxidase; Animal haem peroxidase	1.1E-176; 8.0E-180; 2.6E-169	IPR019791; IPR019791; IPR019791	Haem peroxidase, animal-type; Haem peroxidase, animal-type; Haem peroxidase, animal-type
NP_000249.1	NP_000249.1; XP_011523141.2; NP_524144.1; NP_001186558.1; NP_524147.2	195; 228; 194; 208; 151	Pfam	; ; ; ; 	; ; ; ; 	; ; ; ; 	; ; ; ; 	; ; ; ; 
NP_000259.1	NP_000259.1; NP_001247421.1; XP_011529261.1; NP_001104547.1	595; 604; 610; 586	Pfam	PF09379, PF00373, PF09380, PF00769; PF09379, PF00769, PF09380, PF00373; PF00373, PF00769, PF09380, PF09379; PF00769, PF00373, PF09379, PF09380	FERM N-terminal domain, FERM central domain, FERM C-terminal PH-like domain, Ezrin/radixin/moesin family; FERM N-terminal domain, Ezrin/radixin/moesin family, FERM C-terminal PH-like domain, FERM central domain; FERM central domain, Ezrin/radixin/moesin family, FERM C-terminal PH-like domain, FERM N-terminal domain; Ezrin/radixin/moesin family, FERM central domain, FERM N-terminal domain, FERM C-terminal PH-like domain	7.7E-13, 1.4E-23, 3.0E-24, 3.5E-67; 2.0E-18, 8.9E-79, 1.2E-27, 5.4E-25; 3.5E-23, 1.0E-72, 3.3E-27, 4.9E-18; 1.8E-73, 2.5E-23, 1.6E-17, 1.6E-27	IPR018979, IPR019748, IPR018980, IPR011259; IPR018979, IPR011259, IPR018980, IPR019748; IPR019748, IPR011259, IPR018980, IPR018979; IPR011259, IPR019748, IPR018979, IPR018980	FERM, N-terminal, FERM central domain, FERM, C-terminal PH-like domain, Ezrin/radixin/moesin, C-terminal; FERM, N-terminal, Ezrin/radixin/moesin, C-terminal, FERM, C-terminal PH-like domain, FERM central domain; FERM central domain, Ezrin/radixin/moesin, C-terminal, FERM, C-terminal PH-like domain, FERM, N-terminal; Ezrin/radixin/moesin, C-terminal, FERM central domain, FERM, N-terminal, FERM, C-terminal PH-like domain
NP_000281.2	NP_000281.2; NP_002620.1; NP_001025062.1; NP_954655.1	253; 254; 254; 259	Pfam	PF00300; PF00300; PF00300; PF00300	Histidine phosphatase superfamily (branch 1); Histidine phosphatase superfamily (branch 1); Histidine phosphatase superfamily (branch 1); Histidine phosphatase superfamily (branch 1)	1.0E-27; 9.2E-27; 1.8E-24; 9.9E-26	IPR013078; IPR013078; IPR013078; IPR013078	Histidine phosphatase superfamily, clade-1; Histidine phosphatase superfamily, clade-1; Histidine phosphatase superfamily, clade-1; Histidine phosphatase superfamily, clade-1
NP_000282.1	NP_000282.1; NP_620061.2	417; 417	Pfam	PF00162; PF00162	Phosphoglycerate kinase; Phosphoglycerate kinase	8.8E-151; 1.8E-148	IPR001576; IPR001576	Phosphoglycerate kinase; Phosphoglycerate kinase
NP_000285.1	NP_000285.1; XP_016867813.1	406; 432	Pfam	PF00069; PF00069	Protein kinase domain; Protein kinase domain	1.0E-78; 2.9E-69	IPR000719; IPR000719	Protein kinase domain; Protein kinase domain
NP_000289.1	NP_000289.1; XP_006720633.1	574; 605	Pfam	PF02887, PF00224; PF02887, PF00224	Pyruvate kinase, alpha/beta domain, Pyruvate kinase, barrel domain; Pyruvate kinase, alpha/beta domain, Pyruvate kinase, barrel domain	3.6E-31, 4.6E-166; 6.5E-34, 4.6E-172	IPR015795, IPR015793; IPR015795, IPR015793	Pyruvate kinase, C-terminal, Pyruvate kinase, barrel; Pyruvate kinase, C-terminal, Pyruvate kinase, barrel
NP_000292.1	NP_000292.1; NP_001380510.1	810; 737	Pfam	PF00024, PF00089, PF00051; PF00089, PF00051, PF00024	PAN domain, Trypsin, Kringle domain; Trypsin, Kringle domain, PAN domain	4.2E-13, 9.2E-66, 1.6E-30; 1.8E-42, 9.1E-26, 1.9E-12	IPR003609, IPR001254, IPR000001; IPR001254, IPR000001, IPR003609	PAN/Apple domain, Serine proteases, trypsin domain, Kringle; Serine proteases, trypsin domain, Kringle, PAN/Apple domain
NP_000296.2	NP_000296.2; NP_000437.3; NP_000931.1	354; 355; 354	Pfam	PF01731; PF01731; PF01731	Arylesterase; Arylesterase; Arylesterase	5.1E-42; 3.8E-41; 6.0E-36	IPR002640; IPR002640; IPR002640	Arylesterase; Arylesterase; Arylesterase
NP_000298.3	NP_000298.3; NP_005595.2; NP_002690.3; NP_001231611.1; NP_002692.2; NP_001116229.1; NP_002691.1; NP_006228.3; NP_004566.2; NP_006227.1; NP_001382674.1	361; 443; 451; 438; 360; 317; 338; 419; 409; 500; 359	Pfam	PF00157, PF00046; PF00046, PF00157; PF00046, PF00157; PF00157, PF00046; PF00046, PF00157; PF00157, PF00046; PF00157, PF00046; PF00157, PF00046; PF00046, PF00157; PF00046, PF00157; PF00157, PF00046	Pou domain - N-terminal to homeobox domain, Homeodomain; Homeodomain, Pou domain - N-terminal to homeobox domain; Homeodomain, Pou domain - N-terminal to homeobox domain; Pou domain - N-terminal to homeobox domain, Homeodomain; Homeodomain, Pou domain - N-terminal to homeobox domain; Pou domain - N-terminal to homeobox domain, Homeodomain; Pou domain - N-terminal to homeobox domain, Homeodomain; Pou domain - N-terminal to homeobox domain, Homeodomain; Homeodomain, Pou domain - N-terminal to homeobox domain; Homeodomain, Pou domain - N-terminal to homeobox domain; Pou domain - N-terminal to homeobox domain, Homeodomain	9.4E-39, 4.1E-18; 1.3E-18, 2.0E-38; 1.1E-17, 5.9E-38; 3.8E-38, 3.3E-18; 1.4E-18, 2.4E-36; 4.0E-35, 7.8E-18; 1.9E-31, 4.3E-17; 1.4E-31, 6.1E-17; 5.7E-17, 2.2E-31; 1.2E-18, 2.4E-38; 7.8E-35, 8.7E-16	IPR000327, IPR001356; IPR001356, IPR000327; IPR001356, IPR000327; IPR000327, IPR001356; IPR001356, IPR000327; IPR000327, IPR001356; IPR000327, IPR001356; IPR000327, IPR001356; IPR001356, IPR000327; IPR001356, IPR000327; IPR000327, IPR001356	POU-specific domain, Homeobox domain; Homeobox domain, POU-specific domain; Homeobox domain, POU-specific domain; POU-specific domain, Homeobox domain; Homeobox domain, POU-specific domain; POU-specific domain, Homeobox domain; POU-specific domain, Homeobox domain; POU-specific domain, Homeobox domain; Homeobox domain, POU-specific domain; Homeobox domain, POU-specific domain; POU-specific domain, Homeobox domain
NP_000315.2	NP_000315.2; NP_001307970.1; NP_065140.3	409; 479; 458	Pfam	PF00909; PF00909; PF00909	Ammonium Transporter Family; Ammonium Transporter Family; Ammonium Transporter Family	4.1E-92; 8.5E-79; 1.8E-73	IPR024041; IPR024041; IPR024041	Ammonium transporter AmtB-like domain; Ammonium transporter AmtB-like domain; Ammonium transporter AmtB-like domain
NP_000330.3	NP_000330.3; NP_001371065.1	1030; 1099	Pfam	PF08403, PF03522, PF00324; PF00324, PF08403, PF03522	Amino acid permease N-terminal, Solute carrier family 12, Amino acid permease; Amino acid permease, Amino acid permease N-terminal, Solute carrier family 12	3.6E-27, 1.2E-81, 1.3E-138; 2.7E-148, 1.8E-32, 4.4E-151	IPR013612, IPR018491, IPR004841; IPR004841, IPR013612, IPR018491	Amino acid permease, N-terminal, SLC12A transporter, C-terminal, Amino acid permease/ SLC12A domain; Amino acid permease/ SLC12A domain, Amino acid permease, N-terminal, SLC12A transporter, C-terminal
NP_000331.1	NP_000331.1; NP_006507.2; NP_008862.1; NP_001033.1; NP_001273166.1	524; 492; 496; 509; 535	Pfam	PF00083; PF00083; PF00083; PF00083; PF00083	Sugar (and other) transporter; Sugar (and other) transporter; Sugar (and other) transporter; Sugar (and other) transporter; Sugar (and other) transporter	3.6E-160; 1.7E-161; 1.0E-156; 2.1E-152; 4.9E-154	IPR005828; IPR005828; IPR005828; IPR005828; IPR005828	Major facilitator,  sugar transporter-like; Major facilitator,  sugar transporter-like; Major facilitator,  sugar transporter-like; Major facilitator,  sugar transporter-like; Major facilitator,  sugar transporter-like
