NP_027422.1	NP_027422.1; NP_849661.1	303; 293	Pfam	PF06454; PF06454	Protein of unknown function (DUF1084); Protein of unknown function (DUF1084)	5.5E-146; 1.1E-145	IPR009457; IPR009457	THH1/TOM1/TOM3 domain; THH1/TOM1/TOM3 domain
NP_171923.1	NP_171923.1; NP_196513.1; NP_196512.1; NP_196511.1; NP_199177.1	152; 152; 150; 152; 149	Pfam	PF00203; PF00203; PF00203; PF00203; PF00203	Ribosomal protein S19; Ribosomal protein S19; Ribosomal protein S19; Ribosomal protein S19; Ribosomal protein S19	1.3E-33; 1.4E-33; 6.7E-33; 1.2E-33; 1.0E-32	IPR002222; IPR002222; IPR002222; IPR002222; IPR002222	Ribosomal protein S19/S15; Ribosomal protein S19/S15; Ribosomal protein S19/S15; Ribosomal protein S19/S15; Ribosomal protein S19/S15
NP_171929.1	NP_171929.1; NP_001318735.1	159; 154	Pfam	PF05514; PF05514	HR-like lesion-inducing; HR-like lesion-inducing	6.9E-59; 1.6E-50	IPR008637; IPR008637	HR-like lesion-inducer; HR-like lesion-inducer
NP_171936.1	NP_171936.1; NP_199147.1	332; 332	Pfam	PF00056, PF02866; PF02866, PF00056	lactate/malate dehydrogenase, NAD binding domain, lactate/malate dehydrogenase, alpha/beta C-terminal domain; lactate/malate dehydrogenase, alpha/beta C-terminal domain, lactate/malate dehydrogenase, NAD binding domain	4.1E-34, 6.6E-37; 5.7E-37, 2.2E-34	IPR001236, IPR022383; IPR022383, IPR001236	Lactate/malate dehydrogenase, N-terminal, Lactate/malate dehydrogenase, C-terminal; Lactate/malate dehydrogenase, C-terminal, Lactate/malate dehydrogenase, N-terminal
NP_171941.2	NP_171941.2; NP_180900.1	1035; 1039	Pfam	PF05664; PF05664	Unc-13 homolog; Unc-13 homolog	5.8E-286; 1.1E-292	-; -	-; -
NP_171955.1	NP_171955.1; NP_180881.1	437; 431	Pfam	PF00743; PF00743	Flavin-binding monooxygenase-like; Flavin-binding monooxygenase-like	1.7E-26; 6.7E-25	IPR020946; IPR020946	Flavin monooxygenase-like; Flavin monooxygenase-like
NP_171967.1	NP_171967.1; NP_001031469.1; NP_001323352.1; NP_850201.1	219; 229; 220; 217	Pfam	PF00957, PF13774; PF00957, PF13774; PF00957, PF13774; PF00957, PF13774	Synaptobrevin, Regulated-SNARE-like domain; Synaptobrevin, Regulated-SNARE-like domain; Synaptobrevin, Regulated-SNARE-like domain; Synaptobrevin, Regulated-SNARE-like domain	3.9E-33, 7.1E-20; 6.3E-34, 2.5E-16; 3.0E-33, 3.3E-19; 1.8E-19, 2.0E-16	IPR001388, IPR010908; IPR001388, IPR010908; IPR001388, IPR010908; IPR001388, IPR010908	Synaptobrevin, Longin domain; Synaptobrevin, Longin domain; Synaptobrevin, Longin domain; Synaptobrevin, Longin domain
NP_171973.1	NP_171973.1; NP_180832.1	1001; 1004	Pfam	PF13646, PF18004, PF01851; PF18004, PF01851, PF13646	HEAT repeats, 26S proteasome regulatory subunit RPN2 C-terminal domain, Proteasome/cyclosome repeat; 26S proteasome regulatory subunit RPN2 C-terminal domain, Proteasome/cyclosome repeat, HEAT repeats	5.6E-13, 1.6E-46, 6.6E-6; 1.2E-45, 6.3E-5, 5.7E-13	-, IPR040623, IPR002015; IPR040623, IPR002015, -	-, 26S proteasome regulatory subunit RPN2, C-terminal, Proteasome/cyclosome repeat; 26S proteasome regulatory subunit RPN2, C-terminal, Proteasome/cyclosome repeat, -
NP_171974.1	NP_175423.1; NP_171974.1; NP_193232.1; NP_197479.1; NP_197478.1; NP_176654.1	450; 450; 450; 450; 450; 450	Pfam	PF00091, PF03953; PF00091, PF03953; PF00091, PF03953; PF03953, PF00091; PF03953, PF00091; PF03953, PF00091	Tubulin/FtsZ family, GTPase domain, Tubulin C-terminal domain; Tubulin/FtsZ family, GTPase domain, Tubulin C-terminal domain; Tubulin/FtsZ family, GTPase domain, Tubulin C-terminal domain; Tubulin C-terminal domain, Tubulin/FtsZ family, GTPase domain; Tubulin C-terminal domain, Tubulin/FtsZ family, GTPase domain; Tubulin C-terminal domain, Tubulin/FtsZ family, GTPase domain	4.7E-68, 8.1E-51; 4.7E-68, 8.1E-51; 4.7E-68, 8.1E-51; 1.6E-50, 1.3E-67; 1.6E-50, 1.3E-67; 1.0E-50, 1.0E-67	IPR003008, IPR018316; IPR003008, IPR018316; IPR003008, IPR018316; IPR018316, IPR003008; IPR018316, IPR003008; IPR018316, IPR003008	Tubulin/FtsZ, GTPase domain, Tubulin/FtsZ, 2-layer sandwich domain; Tubulin/FtsZ, GTPase domain, Tubulin/FtsZ, 2-layer sandwich domain; Tubulin/FtsZ, GTPase domain, Tubulin/FtsZ, 2-layer sandwich domain; Tubulin/FtsZ, 2-layer sandwich domain, Tubulin/FtsZ, GTPase domain; Tubulin/FtsZ, 2-layer sandwich domain, Tubulin/FtsZ, GTPase domain; Tubulin/FtsZ, 2-layer sandwich domain, Tubulin/FtsZ, GTPase domain
NP_172007.1	NP_172007.1; NP_180804.1	808; 802	Pfam	PF13432; PF13432	Tetratricopeptide repeat; Tetratricopeptide repeat	5.2E-8; 8.7E-9	-; -	-; -
NP_172042.1	NP_172042.1; NP_850179.1	241; 241	Pfam	PF06884; PF06884	Protein of unknown function (DUF1264); Protein of unknown function (DUF1264)	4.7E-73; 5.2E-72	IPR010686; IPR010686	Oil body-associated protein-like; Oil body-associated protein-like
NP_172056.1	NP_172056.1; NP_172057.1	394; 394	Pfam	PF00295; PF00295	Glycosyl hydrolases family 28; Glycosyl hydrolases family 28	4.3E-86; 1.4E-85	IPR000743; IPR000743	Glycoside hydrolase, family 28; Glycoside hydrolase, family 28
NP_172059.1	NP_172059.1; NP_001184915.1	453; 453	Pfam	PF00201; PF00201	UDP-glucoronosyl and UDP-glucosyl transferase; UDP-glucoronosyl and UDP-glucosyl transferase	1.8E-29; 2.3E-28	IPR002213; IPR002213	UDP-glucuronosyl/UDP-glucosyltransferase; UDP-glucuronosyl/UDP-glucosyltransferase
NP_172069.1	NP_172069.1; NP_565728.1	106; 105	Pfam	PF09446; PF09446	VMA21-like domain; VMA21-like domain	2.1E-19; 1.3E-20	IPR019013; IPR019013	Vacuolar ATPase assembly integral membrane protein Vma21; Vacuolar ATPase assembly integral membrane protein Vma21
NP_172093.1	NP_172093.1; NP_180697.1; NP_191507.1	329; 325; 326	Pfam	PF00294; PF00294; PF00294	pfkB family carbohydrate kinase; pfkB family carbohydrate kinase; pfkB family carbohydrate kinase	1.3E-78; 1.2E-78; 6.1E-77	IPR011611; IPR011611; IPR011611	Carbohydrate kinase PfkB; Carbohydrate kinase PfkB; Carbohydrate kinase PfkB
NP_172099.1	NP_172099.1; NP_172102.1; NP_172100.1	299; 299; 299	Pfam	PF00487; PF00487; PF00487	Fatty acid desaturase; Fatty acid desaturase; Fatty acid desaturase	1.3E-14; 1.3E-14; 4.3E-17	IPR005804; IPR005804; IPR005804	Fatty acid desaturase domain; Fatty acid desaturase domain; Fatty acid desaturase domain
NP_172119.1	NP_172119.1; NP_172120.2	675; 675	Pfam	PF00441, PF02770, PF01756; PF02770, PF01756, PF00441	Acyl-CoA dehydrogenase, C-terminal domain, Acyl-CoA dehydrogenase, middle domain, Acyl-CoA oxidase; Acyl-CoA dehydrogenase, middle domain, Acyl-CoA oxidase, Acyl-CoA dehydrogenase, C-terminal domain	3.2E-10, 5.5E-15, 4.2E-15; 1.0E-14, 9.3E-15, 2.3E-10	IPR009075, IPR006091, IPR002655; IPR006091, IPR002655, IPR009075	Acyl-CoA dehydrogenase/oxidase C-terminal, Acyl-CoA oxidase/dehydrogenase, central domain, Acyl-CoA oxidase, C-terminal; Acyl-CoA oxidase/dehydrogenase, central domain, Acyl-CoA oxidase, C-terminal, Acyl-CoA dehydrogenase/oxidase C-terminal
NP_172127.1	NP_172127.1; NP_180655.1; NP_001329975.1; NP_187235.1; NP_568486.1	407; 412; 410; 409; 405	Pfam	PF00069; PF00069; PF00069; PF00069; PF00069	Protein kinase domain; Protein kinase domain; Protein kinase domain; Protein kinase domain; Protein kinase domain	8.5E-64; 7.9E-64; 2.8E-64; 2.7E-62; 6.9E-63	IPR000719; IPR000719; IPR000719; IPR000719; IPR000719	Protein kinase domain; Protein kinase domain; Protein kinase domain; Protein kinase domain; Protein kinase domain
NP_172149.1	NP_172149.1; NP_172150.1; NP_001154315.2	369; 369; 379	Pfam	PF14226, PF03171; PF03171, PF14226; PF03171, PF14226	non-haem dioxygenase in morphine synthesis N-terminal, 2OG-Fe(II) oxygenase superfamily; 2OG-Fe(II) oxygenase superfamily, non-haem dioxygenase in morphine synthesis N-terminal; 2OG-Fe(II) oxygenase superfamily, non-haem dioxygenase in morphine synthesis N-terminal	1.3E-16, 3.7E-24; 7.9E-24, 1.1E-16; 1.1E-24, 6.9E-16	IPR026992, IPR044861; IPR044861, IPR026992; IPR044861, IPR026992	Non-haem dioxygenase N-terminal domain, Isopenicillin N synthase-like, Fe(2+) 2OG dioxygenase domain; Isopenicillin N synthase-like, Fe(2+) 2OG dioxygenase domain, Non-haem dioxygenase N-terminal domain; Isopenicillin N synthase-like, Fe(2+) 2OG dioxygenase domain, Non-haem dioxygenase N-terminal domain
NP_172168.1	NP_172168.1; NP_180612.1; NP_182309.1; NP_191855.1	99; 102; 102; 102	Pfam	PF00462; PF00462; PF00462; PF00462	Glutaredoxin; Glutaredoxin; Glutaredoxin; Glutaredoxin	3.2E-12; 3.5E-12; 2.9E-12; 1.8E-11	IPR002109; IPR002109; IPR002109; IPR002109	Glutaredoxin; Glutaredoxin; Glutaredoxin; Glutaredoxin
NP_172184.1	NP_172184.1; NP_180577.1	326; 331	Pfam	PF00153; PF00153	Mitochondrial carrier protein; Mitochondrial carrier protein	1.4E-23; 1.6E-23	IPR018108; IPR018108	Mitochondrial substrate/solute carrier; Mitochondrial substrate/solute carrier
NP_172188.1	NP_172188.1; NP_177567.1; NP_191134.1; NP_001319158.1	112; 112; 111; 111	Pfam	PF01247; PF01247; PF01247; PF01247	Ribosomal protein L35Ae; Ribosomal protein L35Ae; Ribosomal protein L35Ae; Ribosomal protein L35Ae	2.8E-44; 8.8E-45; 4.7E-44; 4.0E-44	IPR001780; IPR001780; IPR001780; IPR001780	Ribosomal protein L35A; Ribosomal protein L35A; Ribosomal protein L35A; Ribosomal protein L35A
NP_172217.1	NP_172217.1; NP_180517.1	263; 264	Pfam	PF00705, PF02747; PF00705, PF02747	Proliferating cell nuclear antigen, N-terminal domain, Proliferating cell nuclear antigen, C-terminal domain; Proliferating cell nuclear antigen, N-terminal domain, Proliferating cell nuclear antigen, C-terminal domain	4.1E-59, 1.9E-60; 6.3E-59, 2.4E-60	IPR022648, IPR022649; IPR022648, IPR022649	Proliferating cell nuclear antigen, PCNA, N-terminal, Proliferating cell nuclear antigen, PCNA, C-terminal; Proliferating cell nuclear antigen, PCNA, N-terminal, Proliferating cell nuclear antigen, PCNA, C-terminal
NP_172220.1	NP_172220.1; NP_176195.1; NP_180511.1	157; 155; 153	Pfam	PF00011; PF00011; PF00011	Hsp20/alpha crystallin family; Hsp20/alpha crystallin family; Hsp20/alpha crystallin family	1.2E-31; 2.5E-31; 7.8E-32	IPR002068; IPR002068; IPR002068	Alpha crystallin/Hsp20 domain; Alpha crystallin/Hsp20 domain; Alpha crystallin/Hsp20 domain
NP_172221.1	NP_172221.1; NP_200723.1; NP_001327707.1	214; 217; 217	Pfam	PF00071; PF00071; PF00071	Ras family; Ras family; Ras family	2.6E-60; 2.4E-60; 1.8E-60	IPR001806; IPR001806; IPR001806	Small GTPase; Small GTPase; Small GTPase
NP_172231.2	NP_172231.2; NP_850129.1	813; 809	Pfam	PF17862, PF06480, PF01434, PF00004; PF17862, PF06480, PF00004, PF01434	AAA+ lid domain, FtsH Extracellular, Peptidase family M41, ATPase family associated with various cellular activities (AAA); AAA+ lid domain, FtsH Extracellular, ATPase family associated with various cellular activities (AAA), Peptidase family M41	1.4E-12, 3.8E-10, 2.7E-65, 1.2E-40; 5.7E-13, 5.3E-12, 2.3E-41, 1.3E-65	IPR041569, IPR011546, IPR000642, IPR003959; IPR041569, IPR011546, IPR003959, IPR000642	AAA ATPase, AAA+ lid domain, Peptidase M41, FtsH extracellular, Peptidase M41, ATPase, AAA-type, core; AAA ATPase, AAA+ lid domain, Peptidase M41, FtsH extracellular, ATPase, AAA-type, core, Peptidase M41
NP_172239.1	NP_172239.1; NP_172240.1	45; 45	Pfam	; 	; 	; 	; 	; 
NP_172255.1	NP_172255.1; NP_180436.1	356; 356	Pfam	PF00190; PF00190	Cupin; Cupin	4.2E-34; 4.1E-31	IPR006045; IPR006045	Cupin 1; Cupin 1
NP_172258.1	NP_172258.1; NP_190184.1; NP_180440.1; NP_200799.1; NP_190189.1; NP_181283.1; NP_197679.1; NP_001319739.1; NP_195877.1; NP_187559.1	148; 150; 151; 150; 145; 138; 145; 138; 132; 126	Pfam	PF00125; PF00125; PF00125; PF00125; PF00125; PF00125; PF00125; PF00125; PF00125; PF00125	Core histone H2A/H2B/H3/H4; Core histone H2A/H2B/H3/H4; Core histone H2A/H2B/H3/H4; Core histone H2A/H2B/H3/H4; Core histone H2A/H2B/H3/H4; Core histone H2A/H2B/H3/H4; Core histone H2A/H2B/H3/H4; Core histone H2A/H2B/H3/H4; Core histone H2A/H2B/H3/H4; Core histone H2A/H2B/H3/H4	1.5E-22; 1.4E-23; 4.4E-23; 1.4E-24; 1.3E-23; 2.4E-22; 6.6E-22; 4.4E-22; 1.2E-20; 3.0E-19	IPR007125; IPR007125; IPR007125; IPR007125; IPR007125; IPR007125; IPR007125; IPR007125; IPR007125; IPR007125	Histone H2A/H2B/H3; Histone H2A/H2B/H3; Histone H2A/H2B/H3; Histone H2A/H2B/H3; Histone H2A/H2B/H3; Histone H2A/H2B/H3; Histone H2A/H2B/H3; Histone H2A/H2B/H3; Histone H2A/H2B/H3; Histone H2A/H2B/H3
NP_172259.1	NP_172259.1; NP_001321027.1	1061; 1061	Pfam	PF00702, PF13246, PF00690, PF00689, PF00122; PF00690, PF00702, PF00689, PF00122	haloacid dehalogenase-like hydrolase, Cation transport ATPase (P-type), Cation transporter/ATPase, N-terminus, Cation transporting ATPase, C-terminus, E1-E2 ATPase; Cation transporter/ATPase, N-terminus, haloacid dehalogenase-like hydrolase, Cation transporting ATPase, C-terminus, E1-E2 ATPase	1.5E-17, 1.4E-15, 6.3E-18, 2.2E-49, 1.0E-50; 5.1E-18, 4.3E-20, 1.9E-49, 1.0E-50	-, -, IPR004014, IPR006068, -; IPR004014, -, IPR006068, -	-, -, Cation-transporting P-type ATPase, N-terminal, Cation-transporting P-type ATPase, C-terminal, -; Cation-transporting P-type ATPase, N-terminal, -, Cation-transporting P-type ATPase, C-terminal, -
NP_172288.1	NP_172288.1; NP_172289.1; NP_200885.1	530; 522; 527	Pfam	PF07690; PF07690; PF07690	Major Facilitator Superfamily; Major Facilitator Superfamily; Major Facilitator Superfamily	2.3E-20; 1.1E-20; 5.6E-19	IPR011701; IPR011701; IPR011701	Major facilitator superfamily; Major facilitator superfamily; Major facilitator superfamily
NP_172349.2	NP_172349.2; NP_175858.1	1538; 1529	Pfam	PF01843, PF00063, PF00612, PF02736; PF00612, PF01843, PF02736, PF00063	DIL domain, Myosin head (motor domain), IQ calmodulin-binding motif, Myosin N-terminal SH3-like domain; IQ calmodulin-binding motif, DIL domain, Myosin N-terminal SH3-like domain, Myosin head (motor domain)	9.4E-25, 2.3E-253, 0.045, 1.0E-9; 0.015, 4.9E-24, 1.3E-7, 3.4E-253	IPR002710, IPR001609, IPR000048, IPR004009; IPR000048, IPR002710, IPR004009, IPR001609	Dilute domain, Myosin head, motor domain, IQ motif, EF-hand binding site, Myosin, N-terminal, SH3-like; IQ motif, EF-hand binding site, Dilute domain, Myosin, N-terminal, SH3-like, Myosin head, motor domain
NP_172363.1	NP_172363.1; NP_175868.1; NP_175517.1; NP_188703.1; NP_194453.1; NP_200275.1	142; 142; 132; 132; 131; 130	Pfam	PF16211, PF00125; PF16211, PF00125; PF00125, PF16211; PF00125, PF16211; PF16211, PF00125; PF00125, PF16211	C-terminus of histone H2A, Core histone H2A/H2B/H3/H4; C-terminus of histone H2A, Core histone H2A/H2B/H3/H4; Core histone H2A/H2B/H3/H4, C-terminus of histone H2A; Core histone H2A/H2B/H3/H4, C-terminus of histone H2A; C-terminus of histone H2A, Core histone H2A/H2B/H3/H4; Core histone H2A/H2B/H3/H4, C-terminus of histone H2A	2.5E-17, 1.1E-14; 2.5E-17, 2.9E-14; 8.9E-15, 8.1E-19; 5.6E-15, 2.6E-18; 4.2E-18, 1.0E-14; 2.1E-14, 3.6E-18	IPR032454, IPR007125; IPR032454, IPR007125; IPR007125, IPR032454; IPR007125, IPR032454; IPR032454, IPR007125; IPR007125, IPR032454	Histone H2A, C-terminal domain, Histone H2A/H2B/H3; Histone H2A, C-terminal domain, Histone H2A/H2B/H3; Histone H2A/H2B/H3, Histone H2A, C-terminal domain; Histone H2A/H2B/H3, Histone H2A, C-terminal domain; Histone H2A, C-terminal domain, Histone H2A/H2B/H3; Histone H2A/H2B/H3, Histone H2A, C-terminal domain
NP_172364.3	NP_172364.3; NP_001077495.1	464; 462	Pfam	PF00083; PF00083	Sugar (and other) transporter; Sugar (and other) transporter	2.0E-89; 2.5E-91	IPR005828; IPR005828	Major facilitator,  sugar transporter-like; Major facilitator,  sugar transporter-like
