NP_000076.2	NP_000076.2; NP_004061.3	687; 687	Pfam	PF00571, PF00654; PF00654, PF00571	CBS domain, Voltage gated chloride channel; Voltage gated chloride channel, CBS domain	2.1E-5, 2.6E-73; 1.4E-74, 9.1E-5	IPR000644, IPR001807; IPR001807, IPR000644	CBS domain, Chloride channel, voltage gated; Chloride channel, voltage gated, CBS domain
NP_000415.2	NP_000415.2; NP_005546.2; NP_775109.2; NP_005545.1	590; 564; 564; 564	Pfam	PF00038, PF16208; PF16208, PF00038; PF16208, PF00038; PF16208, PF00038	Intermediate filament protein, Keratin type II head; Keratin type II head, Intermediate filament protein; Keratin type II head, Intermediate filament protein; Keratin type II head, Intermediate filament protein	4.5E-117, 1.5E-43; 3.4E-38, 3.3E-114; 3.4E-38, 7.7E-115; 1.8E-38, 5.7E-115	IPR039008, IPR032444; IPR032444, IPR039008; IPR032444, IPR039008; IPR032444, IPR039008	Intermediate filament, rod domain, Keratin type II head; Keratin type II head, Intermediate filament, rod domain; Keratin type II head, Intermediate filament, rod domain; Keratin type II head, Intermediate filament, rod domain
NP_000420.1	NP_000420.1; NP_005902.1	395; 395	Pfam	PF00438, PF02773, PF02772; PF00438, PF02772, PF02773	S-adenosylmethionine synthetase, N-terminal domain, S-adenosylmethionine synthetase, C-terminal domain, S-adenosylmethionine synthetase, central domain; S-adenosylmethionine synthetase, N-terminal domain, S-adenosylmethionine synthetase, central domain, S-adenosylmethionine synthetase, C-terminal domain	2.5E-43, 2.2E-68, 7.1E-46; 3.6E-44, 5.1E-47, 1.5E-67	IPR022628, IPR022630, IPR022629; IPR022628, IPR022629, IPR022630	S-adenosylmethionine synthetase, N-terminal, S-adenosylmethionine synthetase, C-terminal, S-adenosylmethionine synthetase, central domain; S-adenosylmethionine synthetase, N-terminal, S-adenosylmethionine synthetase, central domain, S-adenosylmethionine synthetase, C-terminal
NP_000488.3	NP_000488.3; NP_000489.3	503; 503	Pfam	PF00067; PF00067	Cytochrome P450; Cytochrome P450	1.9E-104; 5.8E-107	IPR001128; IPR001128	Cytochrome P450; Cytochrome P450
NP_000504.1	NP_001316996.1; NP_001041646.1; NP_000504.1; NP_064445.2	364; 364; 364; 364	Pfam	PF00001; PF00001; PF00001; PF00001	7 transmembrane receptor (rhodopsin family); 7 transmembrane receptor (rhodopsin family); 7 transmembrane receptor (rhodopsin family); 7 transmembrane receptor (rhodopsin family)	1.5E-39; 1.5E-39; 1.5E-39; 1.2E-39	IPR000276; IPR000276; IPR000276; IPR000276	G protein-coupled receptor, rhodopsin-like; G protein-coupled receptor, rhodopsin-like; G protein-coupled receptor, rhodopsin-like; G protein-coupled receptor, rhodopsin-like
NP_000506.2	NP_000506.2; NP_066271.1; NP_001308.1; NP_072051.1; XP_011522646.1	217; 217; 217; 256; 261	Pfam	PF00103; PF00103; PF00103; PF00103; PF00103	Somatotropin hormone family; Somatotropin hormone family; Somatotropin hormone family; Somatotropin hormone family; Somatotropin hormone family	5.2E-62; 1.2E-62; 1.2E-62; 3.0E-36; 3.7E-28	IPR001400; IPR001400; IPR001400; IPR001400; IPR001400	Somatotropin/prolactin; Somatotropin/prolactin; Somatotropin/prolactin; Somatotropin/prolactin; Somatotropin/prolactin
NP_000508.1	NP_000549.1; NP_000508.1	142; 142	Pfam	PF00042; PF00042	Globin; Globin	1.0E-28; 1.0E-28	IPR000971; IPR000971	Globin; Globin
NP_000509.1	NP_000509.1; NP_000510.1	147; 147	Pfam	PF00042; PF00042	Globin; Globin	9.3E-31; 5.7E-31	IPR000971; IPR000971	Globin; Globin
NP_000552.2	NP_000552.2; NP_000842.2; NP_000839.1; XP_016856574.1	218; 218; 218; 254	Pfam	PF02798, PF14497; PF00043, PF02798; PF02798, PF00043; PF02798, PF00043	Glutathione S-transferase, N-terminal domain, Glutathione S-transferase, C-terminal domain; Glutathione S-transferase, C-terminal domain, Glutathione S-transferase, N-terminal domain; Glutathione S-transferase, N-terminal domain, Glutathione S-transferase, C-terminal domain; Glutathione S-transferase, N-terminal domain, Glutathione S-transferase, C-terminal domain	1.2E-20, 1.1E-16; 2.7E-14, 9.8E-21; 2.4E-22, 4.9E-17; 4.1E-21, 5.0E-16	IPR004045, IPR004046; IPR004046, IPR004045; IPR004045, IPR004046; IPR004045, IPR004046	Glutathione S-transferase, N-terminal, Glutathione S-transferase, C-terminal; Glutathione S-transferase, C-terminal, Glutathione S-transferase, N-terminal; Glutathione S-transferase, N-terminal, Glutathione S-transferase, C-terminal; Glutathione S-transferase, N-terminal, Glutathione S-transferase, C-terminal
NP_000596.2	NP_000596.2; NP_002160.1; NP_066282.1; NP_002163.2; NP_066546.1; NP_008831.3; NP_002164.1; NP_067091.1; NP_076918.1; NP_002166.2; NP_002162.1; NP_002161.2; NP_066401.2	188; 189; 189; 189; 189; 190; 189; 189; 189; 189; 189; 189; 189	Pfam	PF00143; PF00143; PF00143; PF00143; PF00143; PF00143; PF00143; PF00143; PF00143; PF00143; PF00143; PF00143; PF00143	Interferon alpha/beta domain; Interferon alpha/beta domain; Interferon alpha/beta domain; Interferon alpha/beta domain; Interferon alpha/beta domain; Interferon alpha/beta domain; Interferon alpha/beta domain; Interferon alpha/beta domain; Interferon alpha/beta domain; Interferon alpha/beta domain; Interferon alpha/beta domain; Interferon alpha/beta domain; Interferon alpha/beta domain	1.5E-64; 4.3E-68; 1.3E-64; 5.0E-67; 1.4E-67; 5.2E-66; 5.1E-66; 3.7E-67; 5.1E-66; 2.3E-66; 4.9E-67; 5.1E-65; 4.1E-66	IPR000471; IPR000471; IPR000471; IPR000471; IPR000471; IPR000471; IPR000471; IPR000471; IPR000471; IPR000471; IPR000471; IPR000471; IPR000471	Interferon alpha/beta/delta; Interferon alpha/beta/delta; Interferon alpha/beta/delta; Interferon alpha/beta/delta; Interferon alpha/beta/delta; Interferon alpha/beta/delta; Interferon alpha/beta/delta; Interferon alpha/beta/delta; Interferon alpha/beta/delta; Interferon alpha/beta/delta; Interferon alpha/beta/delta; Interferon alpha/beta/delta; Interferon alpha/beta/delta
NP_000598.2	NP_000598.2; NP_000599.1	201; 201	Pfam	PF00061; PF00061	Lipocalin / cytosolic fatty-acid binding protein family; Lipocalin / cytosolic fatty-acid binding protein family	1.5E-18; 1.1E-17	IPR000566; IPR000566	Lipocalin/cytosolic fatty-acid binding domain; Lipocalin/cytosolic fatty-acid binding domain
NP_000658.1	NP_000658.1; NP_000659.2; NP_000660.1	375; 375; 375	Pfam	PF00107, PF08240; PF08240, PF00107; PF00107, PF08240	Zinc-binding dehydrogenase, Alcohol dehydrogenase GroES-like domain; Alcohol dehydrogenase GroES-like domain, Zinc-binding dehydrogenase; Zinc-binding dehydrogenase, Alcohol dehydrogenase GroES-like domain	5.3E-27, 1.6E-26; 2.1E-26, 2.9E-26; 1.1E-26, 1.2E-26	IPR013149, IPR013154; IPR013154, IPR013149; IPR013149, IPR013154	Alcohol dehydrogenase, C-terminal, Alcohol dehydrogenase, N-terminal; Alcohol dehydrogenase, N-terminal, Alcohol dehydrogenase, C-terminal; Alcohol dehydrogenase, C-terminal, Alcohol dehydrogenase, N-terminal
NP_000668.1	NP_000668.1; NP_065734.5	318; 347	Pfam	PF00001; PF00001	7 transmembrane receptor (rhodopsin family); 7 transmembrane receptor (rhodopsin family)	7.4E-47; 2.5E-18	IPR000276; IPR000276	G protein-coupled receptor, rhodopsin-like; G protein-coupled receptor, rhodopsin-like
NP_000673.2	NP_000673.2; NP_000674.2	450; 462	Pfam	PF00001; PF00001	7 transmembrane receptor (rhodopsin family); 7 transmembrane receptor (rhodopsin family)	2.4E-75; 3.8E-74	IPR000276; IPR000276	G protein-coupled receptor, rhodopsin-like; G protein-coupled receptor, rhodopsin-like
NP_000690.1	NP_000690.1; NP_066188.1; XP_016856547.1; NP_001373854.1; NP_004029.2	511; 511; 511; 511; 511	Pfam	PF02806, PF00128; PF00128, PF02806; PF00128, PF02806; PF00128, PF02806; PF00128, PF02806	Alpha amylase, C-terminal all-beta domain, Alpha amylase, catalytic domain; Alpha amylase, catalytic domain, Alpha amylase, C-terminal all-beta domain; Alpha amylase, catalytic domain, Alpha amylase, C-terminal all-beta domain; Alpha amylase, catalytic domain, Alpha amylase, C-terminal all-beta domain; Alpha amylase, catalytic domain, Alpha amylase, C-terminal all-beta domain	4.6E-15, 2.2E-14; 4.3E-15, 5.4E-15; 4.3E-14, 5.4E-15; 4.3E-14, 5.4E-15; 4.3E-14, 5.4E-15	IPR006048, IPR006047; IPR006047, IPR006048; IPR006047, IPR006048; IPR006047, IPR006048; IPR006047, IPR006048	Alpha-amylase/branching enzyme, C-terminal all beta, Glycosyl hydrolase, family 13, catalytic domain; Glycosyl hydrolase, family 13, catalytic domain, Alpha-amylase/branching enzyme, C-terminal all beta; Glycosyl hydrolase, family 13, catalytic domain, Alpha-amylase/branching enzyme, C-terminal all beta; Glycosyl hydrolase, family 13, catalytic domain, Alpha-amylase/branching enzyme, C-terminal all beta; Glycosyl hydrolase, family 13, catalytic domain, Alpha-amylase/branching enzyme, C-terminal all beta
NP_000692.2	NP_000692.2; NP_001243143.1; NP_000693.1; NP_653300.2	1023; 1026; 1020; 1029	Pfam	PF00690, PF00122, PF13246, PF00689; PF00690, PF00122, PF13246, PF00689; PF00122, PF13246, PF00689, PF00690; PF00689, PF13246, PF00690, PF00122	Cation transporter/ATPase, N-terminus, E1-E2 ATPase, Cation transport ATPase (P-type), Cation transporting ATPase, C-terminus; Cation transporter/ATPase, N-terminus, E1-E2 ATPase, Cation transport ATPase (P-type), Cation transporting ATPase, C-terminus; E1-E2 ATPase, Cation transport ATPase (P-type), Cation transporting ATPase, C-terminus, Cation transporter/ATPase, N-terminus; Cation transporting ATPase, C-terminus, Cation transport ATPase (P-type), Cation transporter/ATPase, N-terminus, E1-E2 ATPase	1.4E-16, 1.7E-45, 1.2E-22, 2.8E-44; 3.0E-17, 1.3E-45, 2.5E-23, 3.3E-44; 4.5E-46, 2.2E-22, 1.4E-43, 2.9E-16; 6.7E-45, 4.2E-22, 5.4E-12, 1.9E-45	IPR004014, -, -, IPR006068; IPR004014, -, -, IPR006068; -, -, IPR006068, IPR004014; IPR006068, -, IPR004014, -	Cation-transporting P-type ATPase, N-terminal, -, -, Cation-transporting P-type ATPase, C-terminal; Cation-transporting P-type ATPase, N-terminal, -, -, Cation-transporting P-type ATPase, C-terminal; -, -, Cation-transporting P-type ATPase, C-terminal, Cation-transporting P-type ATPase, N-terminal; Cation-transporting P-type ATPase, C-terminal, -, Cation-transporting P-type ATPase, N-terminal, -
NP_000728.1	NP_149439.1; NP_149032.1; NP_000728.1; NP_149133.1; XP_005258536.1; NP_203695.2; NP_000885.1	165; 165; 165; 165; 181; 155; 141	Pfam	PF00007; PF00007; PF00007; PF00007; PF00007; PF00007; PF00007	Cystine-knot domain; Cystine-knot domain; Cystine-knot domain; Cystine-knot domain; Cystine-knot domain; Cystine-knot domain; Cystine-knot domain	2.5E-34; 2.5E-34; 2.5E-34; 2.5E-34; 3.2E-34; 2.0E-34; 9.2E-36	IPR006208; IPR006208; IPR006208; IPR006208; IPR006208; IPR006208; IPR006208	Glycoprotein hormone subunit beta; Glycoprotein hormone subunit beta; Glycoprotein hormone subunit beta; Glycoprotein hormone subunit beta; Glycoprotein hormone subunit beta; Glycoprotein hormone subunit beta; Glycoprotein hormone subunit beta
NP_000753.3	NP_000753.3; NP_000757.2; NP_000755.2	494; 494; 494	Pfam	PF00067; PF00067; PF00067	Cytochrome P450; Cytochrome P450; Cytochrome P450	1.6E-150; 1.9E-150; 6.2E-147	IPR001128; IPR001128; IPR001128	Cytochrome P450; Cytochrome P450; Cytochrome P450
NP_000756.3	NP_000756.3; NP_001243426.2; NP_059488.2; NP_000768.1	503; 535; 503; 502	Pfam	PF00067; PF00067; PF00067; PF00067	Cytochrome P450; Cytochrome P450; Cytochrome P450; Cytochrome P450	2.7E-128; 3.3E-128; 4.1E-133; 5.4E-132	IPR001128; IPR001128; IPR001128; IPR001128	Cytochrome P450; Cytochrome P450; Cytochrome P450; Cytochrome P450
NP_000760.1	NP_000760.1; NP_000762.2; NP_000763.1	490; 490; 490	Pfam	PF00067; PF00067; PF00067	Cytochrome P450; Cytochrome P450; Cytochrome P450	1.5E-159; 3.3E-162; 2.1E-163	IPR001128; IPR001128; IPR001128	Cytochrome P450; Cytochrome P450; Cytochrome P450
NP_000769.2	NP_000769.2; NP_001010969.2	519; 519	Pfam	PF00067; PF00067	Cytochrome P450; Cytochrome P450	5.2E-131; 6.4E-125	IPR001128; IPR001128	Cytochrome P450; Cytochrome P450
NP_000782.1	NP_000782.1; NP_789785.1	187; 187	Pfam	PF00186; PF00186	Dihydrofolate reductase; Dihydrofolate reductase	2.1E-32; 2.2E-29	IPR001796; IPR001796	Dihydrofolate reductase domain; Dihydrofolate reductase domain
NP_000795.2	NP_000795.2; XP_005273913.1; NP_000793.1	245; 264; 257	Pfam	PF03024; PF03024; PF03024	Folate receptor family; Folate receptor family; Folate receptor family	4.1E-65; 5.5E-64; 2.3E-66	IPR018143; IPR018143; IPR018143	Folate receptor-like; Folate receptor-like; Folate receptor-like
NP_000822.2	NP_000822.2; NP_068775.1	919; 908	Pfam	PF01094, PF00060, PF10613; PF00060, PF01094, PF10613	Receptor family ligand binding region, Ligand-gated ion channel, Ligated ion channel L-glutamate- and glycine-binding site; Ligand-gated ion channel, Receptor family ligand binding region, Ligated ion channel L-glutamate- and glycine-binding site	1.1E-73, 4.6E-53, 7.4E-47; 5.9E-55, 3.8E-82, 1.7E-46	IPR001828, IPR001320, IPR019594; IPR001320, IPR001828, IPR019594	Receptor, ligand binding region, Ionotropic glutamate receptor, Ionotropic glutamate receptor, L-glutamate and glycine-binding domain; Ionotropic glutamate receptor, Receptor, ligand binding region, Ionotropic glutamate receptor, L-glutamate and glycine-binding domain
NP_000837.3	NP_000837.3; NP_714543.1; NP_000838.3; XP_005249091.1	222; 222; 222; 225	Pfam	PF14497, PF02798; PF14497, PF02798; PF14497, PF02798; PF02798, PF00043	Glutathione S-transferase, C-terminal domain, Glutathione S-transferase, N-terminal domain; Glutathione S-transferase, C-terminal domain, Glutathione S-transferase, N-terminal domain; Glutathione S-transferase, C-terminal domain, Glutathione S-transferase, N-terminal domain; Glutathione S-transferase, N-terminal domain, Glutathione S-transferase, C-terminal domain	3.0E-20, 2.0E-18; 2.5E-20, 8.0E-17; 2.4E-19, 6.0E-18; 1.2E-19, 1.1E-16	IPR004046, IPR004045; IPR004046, IPR004045; IPR004046, IPR004045; IPR004045, IPR004046	Glutathione S-transferase, C-terminal, Glutathione S-transferase, N-terminal; Glutathione S-transferase, C-terminal, Glutathione S-transferase, N-terminal; Glutathione S-transferase, C-terminal, Glutathione S-transferase, N-terminal; Glutathione S-transferase, N-terminal, Glutathione S-transferase, C-terminal
NP_000845.2	NP_000845.2; NP_001074312.1	244; 244	Pfam	PF02798, PF00043; PF00043, PF02798	Glutathione S-transferase, N-terminal domain, Glutathione S-transferase, C-terminal domain; Glutathione S-transferase, C-terminal domain, Glutathione S-transferase, N-terminal domain	3.3E-12, 4.4E-7; 3.8E-7, 3.3E-12	IPR004045, IPR004046; IPR004046, IPR004045	Glutathione S-transferase, N-terminal, Glutathione S-transferase, C-terminal; Glutathione S-transferase, C-terminal, Glutathione S-transferase, N-terminal
NP_000935.1	NP_000935.1; NP_001135825.1; NP_001230903.1	521; 525; 521	Pfam	PF00149; PF00149; PF00149	Calcineurin-like phosphoesterase; Calcineurin-like phosphoesterase; Calcineurin-like phosphoesterase	9.8E-39; 9.8E-38; 1.5E-38	IPR004843; IPR004843; IPR004843	Calcineurin-like phosphoesterase domain, ApaH type; Calcineurin-like phosphoesterase domain, ApaH type; Calcineurin-like phosphoesterase domain, ApaH type
NP_000936.1	NP_000936.1; NP_671709.2	170; 170	Pfam	PF13499; PF13499	EF-hand domain pair; EF-hand domain pair	8.2E-15; 3.1E-13	IPR002048; IPR002048	EF-hand domain; EF-hand domain
NP_000978.1	NP_000978.1; XP_016865008.1	145; 145	Pfam	PF00467, PF16906; PF00467, PF16906	KOW motif, Ribosomal proteins L26 eukaryotic, L24P archaeal; KOW motif, Ribosomal proteins L26 eukaryotic, L24P archaeal	9.3E-8, 2.9E-43; 9.3E-8, 4.6E-43	IPR005824, IPR005756; IPR005824, IPR005756	KOW, Ribosomal protein L26/L24, eukaryotic/archaeal; KOW, Ribosomal protein L26/L24, eukaryotic/archaeal
NP_000991.1	NP_000991.1; NP_443201.1	51; 51	Pfam	PF00832; PF00832	Ribosomal L39 protein; Ribosomal L39 protein	5.2E-24; 1.0E-22	IPR000077; IPR000077	Ribosomal protein L39e; Ribosomal protein L39e
NP_000992.1	NP_000992.1; NP_066357.3; NP_001186902.2	106; 106; 118	Pfam	PF00935; PF00935; PF00935	Ribosomal protein L44; Ribosomal protein L44; Ribosomal protein L44	1.7E-38; 1.2E-38; 1.7E-38	IPR000552; IPR000552; IPR000552	Ribosomal protein L44e; Ribosomal protein L44e; Ribosomal protein L44e
NP_000998.1	NP_000998.1; NP_000999.1; NP_001034656.1	263; 263; 263	Pfam	PF00900, PF00467, PF16121, PF01479, PF08071; PF00467, PF00900, PF16121, PF08071; PF00467, PF00900, PF08071, PF16121	Ribosomal family S4e, KOW motif, 40S ribosomal protein S4 C-terminus, S4 domain, RS4NT (NUC023) domain; KOW motif, Ribosomal family S4e, 40S ribosomal protein S4 C-terminus, RS4NT (NUC023) domain; KOW motif, Ribosomal family S4e, RS4NT (NUC023) domain, 40S ribosomal protein S4 C-terminus	1.7E-38, 2.0E-5, 3.8E-29, 7.9E-6, 2.3E-21; 1.8E-5, 2.2E-36, 8.1E-28, 2.3E-21; 8.6E-6, 1.8E-36, 2.3E-21, 2.5E-28	IPR013845, IPR005824, IPR032277, IPR002942, IPR013843; IPR005824, IPR013845, IPR032277, IPR013843; IPR005824, IPR013845, IPR013843, IPR032277	Ribosomal protein S4e, central region, KOW, 40S ribosomal protein S4, C-terminal domain, RNA-binding S4 domain, Ribosomal protein S4e, N-terminal; KOW, Ribosomal protein S4e, central region, 40S ribosomal protein S4, C-terminal domain, Ribosomal protein S4e, N-terminal; KOW, Ribosomal protein S4e, central region, Ribosomal protein S4e, N-terminal, 40S ribosomal protein S4, C-terminal domain
NP_001021.1	NP_001021.1; NP_057004.1	84; 84	Pfam	PF01667; PF01667	Ribosomal protein S27; Ribosomal protein S27	1.5E-30; 1.5E-30	IPR000592; IPR000592	Ribosomal protein S27; Ribosomal protein S27
NP_001045.2	NP_001045.2; NP_808220.1; NP_001017390.1	295; 295; 295	Pfam	PF00685; PF00685; PF00685	Sulfotransferase domain; Sulfotransferase domain; Sulfotransferase domain	8.0E-85; 7.3E-85; 7.3E-85	IPR000863; IPR000863; IPR000863	Sulfotransferase domain; Sulfotransferase domain; Sulfotransferase domain
NP_001060.1	NP_001060.1; NP_821080.1; NP_006079.1; NP_001276052.1; NP_006077.2; NP_115914.1; NP_001280141.1; NP_817124.1; NP_001345618.1; NP_110400.1	445; 445; 445; 495; 450; 446; 464; 444; 444; 451	Pfam	PF03953, PF00091; PF00091, PF03953; PF00091, PF03953; PF03953, PF00091; PF00091, PF03953; PF03953, PF00091; PF03953, PF00091; PF03953, PF00091; PF03953, PF00091; PF00091, PF03953	Tubulin C-terminal domain, Tubulin/FtsZ family, GTPase domain; Tubulin/FtsZ family, GTPase domain, Tubulin C-terminal domain; Tubulin/FtsZ family, GTPase domain, Tubulin C-terminal domain; Tubulin C-terminal domain, Tubulin/FtsZ family, GTPase domain; Tubulin/FtsZ family, GTPase domain, Tubulin C-terminal domain; Tubulin C-terminal domain, Tubulin/FtsZ family, GTPase domain; Tubulin C-terminal domain, Tubulin/FtsZ family, GTPase domain; Tubulin C-terminal domain, Tubulin/FtsZ family, GTPase domain; Tubulin C-terminal domain, Tubulin/FtsZ family, GTPase domain; Tubulin/FtsZ family, GTPase domain, Tubulin C-terminal domain	8.3E-43, 1.5E-68; 2.7E-69, 8.3E-43; 8.7E-69, 2.0E-42; 1.3E-41, 5.2E-68; 1.9E-69, 8.2E-42; 9.4E-41, 9.8E-70; 5.3E-42, 3.9E-59; 3.0E-40, 1.3E-70; 1.3E-38, 1.3E-67; 9.4E-70, 4.4E-39	IPR018316, IPR003008; IPR003008, IPR018316; IPR003008, IPR018316; IPR018316, IPR003008; IPR003008, IPR018316; IPR018316, IPR003008; IPR018316, IPR003008; IPR018316, IPR003008; IPR018316, IPR003008; IPR003008, IPR018316	Tubulin/FtsZ, 2-layer sandwich domain, Tubulin/FtsZ, GTPase domain; Tubulin/FtsZ, GTPase domain, Tubulin/FtsZ, 2-layer sandwich domain; Tubulin/FtsZ, GTPase domain, Tubulin/FtsZ, 2-layer sandwich domain; Tubulin/FtsZ, 2-layer sandwich domain, Tubulin/FtsZ, GTPase domain; Tubulin/FtsZ, GTPase domain, Tubulin/FtsZ, 2-layer sandwich domain; Tubulin/FtsZ, 2-layer sandwich domain, Tubulin/FtsZ, GTPase domain; Tubulin/FtsZ, 2-layer sandwich domain, Tubulin/FtsZ, GTPase domain; Tubulin/FtsZ, 2-layer sandwich domain, Tubulin/FtsZ, GTPase domain; Tubulin/FtsZ, 2-layer sandwich domain, Tubulin/FtsZ, GTPase domain; Tubulin/FtsZ, GTPase domain, Tubulin/FtsZ, 2-layer sandwich domain
NP_001064.1	NP_001064.1; NP_444267.1; NP_001066.1; NP_001065.2; NP_066962.2	529; 529; 528; 529; 528	Pfam	PF00201; PF00201; PF00201; PF00201; PF00201	UDP-glucoronosyl and UDP-glucosyl transferase; UDP-glucoronosyl and UDP-glucosyl transferase; UDP-glucoronosyl and UDP-glucosyl transferase; UDP-glucoronosyl and UDP-glucosyl transferase; UDP-glucoronosyl and UDP-glucosyl transferase	6.6E-258; 2.6E-251; 6.7E-259; 1.8E-261; 7.1E-265	IPR002213; IPR002213; IPR002213; IPR002213; IPR002213	UDP-glucuronosyl/UDP-glucosyltransferase; UDP-glucuronosyl/UDP-glucosyltransferase; UDP-glucuronosyl/UDP-glucosyltransferase; UDP-glucuronosyl/UDP-glucosyltransferase; UDP-glucuronosyl/UDP-glucosyltransferase
NP_001067.2	NP_001067.2; NP_001068.1	530; 530	Pfam	PF00201; PF00201	UDP-glucoronosyl and UDP-glucosyl transferase; UDP-glucoronosyl and UDP-glucosyl transferase	7.3E-265; 1.3E-265	IPR002213; IPR002213	UDP-glucuronosyl/UDP-glucosyltransferase; UDP-glucuronosyl/UDP-glucosyltransferase
NP_001073.3	NP_001073.3; NP_001356625.1; NP_067010.3; NP_076433.3; XP_024307108.1	520; 520; 524; 524; 520	Pfam	PF00067; PF00067; PF00067; PF00067; PF00067	Cytochrome P450; Cytochrome P450; Cytochrome P450; Cytochrome P450; Cytochrome P450	3.8E-136; 1.3E-137; 5.6E-133; 1.5E-135; 1.5E-133	IPR001128; IPR001128; IPR001128; IPR001128; IPR001128	Cytochrome P450; Cytochrome P450; Cytochrome P450; Cytochrome P450; Cytochrome P450
NP_001091.1	NP_001091.1; NP_005150.1; NP_001307784.1; NP_001606.1; NP_001186883.1; NP_001092.1; NP_001017992.1	377; 377; 377; 376; 375; 375; 376	Pfam	PF00022; PF00022; PF00022; PF00022; PF00022; PF00022; PF00022	Actin; Actin; Actin; Actin; Actin; Actin; Actin	8.5E-149; 5.5E-149; 1.4E-148; 6.2E-148; 3.8E-151; 1.1E-150; 9.6E-147	IPR004000; IPR004000; IPR004000; IPR004000; IPR004000; IPR004000; IPR004000	Actin family; Actin family; Actin family; Actin family; Actin family; Actin family; Actin family
