	category1	category2	ko_id	function	species_name	hsds_id	hsds_num
39	09104 Nucleotide metabolism	00230 Purine metabolism [PATH:ko00230]	K10808  RRM2; ribonucleoside-diphosphate reductase subunit M2 		Chlamydomonas_reinhardtii.60_100	XP_001690856.1	1
40	09104 Nucleotide metabolism	00230 Purine metabolism [PATH:ko00230]	K12319  GUCY1B; guanylate cyclase soluble subunit beta 		Chlamydomonas_reinhardtii.60_100	XP_001700847.1, XP_042922539.1	2
41	09104 Nucleotide metabolism	00230 Purine metabolism [PATH:ko00230]	K12324  ANPRB, NPR2; atrial natriuretic peptide receptor B 		Chlamydomonas_reinhardtii.60_100	XP_001694528.2, XP_001702503.2	2
42	09104 Nucleotide metabolism	00230 Purine metabolism [PATH:ko00230]	K13755  PE1; calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 		Chlamydomonas_reinhardtii.60_100	XP_001694860.2	1
43	09104 Nucleotide metabolism	00230 Purine metabolism [PATH:ko00230]	K13293  PE4; cAMP-specific phosphodiesterase 4 		Chlamydomonas_reinhardtii.60_100	XP_001694860.2, XP_042918881.1	2
44	09104 Nucleotide metabolism	00240 Pyrimidine metabolism [PATH:ko00240]	K00876  udk, UCK; uridine kinase 		Chlamydomonas_reinhardtii.60_100	XP_001691897.2	1
45	09104 Nucleotide metabolism	00240 Pyrimidine metabolism [PATH:ko00240]	K00943  tmk, TYMK; dTMP kinase 		Chlamydomonas_reinhardtii.60_100	XP_001692044.2	1
46	09105 Amino acid metabolism	00250 Alanine, aspartate and glutamate metabolism [PATH:ko00250]	K13566  NIT2, yafV; omega-amidase 		Chlamydomonas_reinhardtii.60_100	XP_001690839.2	1
47	09105 Amino acid metabolism	00260 Glycine, serine and threonine metabolism [PATH:ko00260]	K00872  thrB; homoserine kinase 		Chlamydomonas_reinhardtii.60_100	XP_042926888.1	1
48	09105 Amino acid metabolism	00270 ysteine and methionine metabolism [PATH:ko00270]	K00558  NMT1, dcm; NA (cytosine-5)-methyltransferase 1 		Chlamydomonas_reinhardtii.60_100	XP_042923274.1	1
49	09105 Amino acid metabolism	00270 ysteine and methionine metabolism [PATH:ko00270]	K05396  dcy; -cysteine desulfhydrase 		Chlamydomonas_reinhardtii.60_100	XP_042922514.1	1
50	09105 Amino acid metabolism	00270 ysteine and methionine metabolism [PATH:ko00270]	K08968  msrC; L-methionine (R)-S-oxide reductase 		Chlamydomonas_reinhardtii.60_100	XP_042923055.1	1
51	09105 Amino acid metabolism	00330 Arginine and proline metabolism [PATH:ko00330]	K12251  aguB; N-carbamoylputrescine amidase 		Chlamydomonas_reinhardtii.60_100	XP_042918741.1	1
52	09105 Amino acid metabolism	00330 Arginine and proline metabolism [PATH:ko00330]	K00472  P4HA; prolyl 4-hydroxylase 		Chlamydomonas_reinhardtii.60_100	XP_042916953.1, XP_001701720.2, XP_042919747.1	3
53	09105 Amino acid metabolism	00350 Tyrosine metabolism [PATH:ko00350]	K00457  HP, hpp; 4-hydroxyphenylpyruvate dioxygenase 		Chlamydomonas_reinhardtii.60_100	XP_001694722.2	1
54	09106 Metabolism of other amino acids	00480 Glutathione metabolism [PATH:ko00480]	K00799  GST, gst; glutathione S-transferase 		Chlamydomonas_reinhardtii.60_100	XP_042916411.1	1
55	09106 Metabolism of other amino acids	00480 Glutathione metabolism [PATH:ko00480]	K24138  prx3; glutaredoxin/glutathione-dependent peroxiredoxin 		Chlamydomonas_reinhardtii.60_100	XP_001689455.1	1
56	09107 Glycan biosynthesis and metabolism	00514 Other types of O-glycan biosynthesis [PATH:ko00514]	K20784  XEG113; arabinosyltransferase 		Chlamydomonas_reinhardtii.60_100	XP_001692305.2	1
57	09107 Glycan biosynthesis and metabolism	00534 Glycosaminoglycan biosynthesis - heparan sulfate / heparin [PATH:ko00534]	K01793  GLCE; heparosan-N-sulfate-glucuronate 5-epimerase 		Chlamydomonas_reinhardtii.60_100	XP_042918104.1	1
58	09108 Metabolism of cofactors and vitamins	00860 Porphyrin and chlorophyll metabolism [PATH:ko00860]	K03405  chlI, bchI; magnesium chelatase subunit I 		Chlamydomonas_reinhardtii.60_100	XP_001690873.1	1
59	09108 Metabolism of cofactors and vitamins	00860 Porphyrin and chlorophyll metabolism [PATH:ko00860]	K04035  E1.14.13.81, acsF, chlE; magnesium-protoporphyrin IX monomethyl ester (oxidative) cyclase 		Chlamydomonas_reinhardtii.60_100	XP_001691047.2	1
60	09108 Metabolism of cofactors and vitamins	00860 Porphyrin and chlorophyll metabolism [PATH:ko00860]	K01764  HCCS; cytochrome c heme-lyase 		Chlamydomonas_reinhardtii.60_100	XP_042918565.1, XP_001700175.2	2
61	09108 Metabolism of cofactors and vitamins	00130 Ubiquinone and other terpenoid-quinone biosynthesis [PATH:ko00130]	K03809  wrbA; NA(P)H dehydrogenase (quinone) 		Chlamydomonas_reinhardtii.60_100	XP_001698549.2	1
62	09109 Metabolism of terpenoids and polyketides	00900 Terpenoid backbone biosynthesis [PATH:ko00900]	K15889  PCME; prenylcysteine alpha-carboxyl methylesterase 		Chlamydomonas_reinhardtii.60_100	XP_042927657.1	1
63	09109 Metabolism of terpenoids and polyketides	00906 arotenoid biosynthesis [PATH:ko00906]	K17913  CC8; carlactone synthase / all-trans-10'-apo-beta-carotenal 13,14-cleaving dioxygenase 		Chlamydomonas_reinhardtii.60_100	XP_001701620.1	1
64	09111 Xenobiotics biodegradation and metabolism	00982 Drug metabolism - cytochrome P450 [PATH:ko00982]	K00485  FMO; dimethylaniline monooxygenase (N-oxide forming) 		Chlamydomonas_reinhardtii.60_100	XP_042924218.1	1
65	09121 Transcription	03040 Spliceosome [PATH:ko03040]	K12818  HX8, PRP22; ATP-dependent RNA helicase HX8/PRP22 		Chlamydomonas_reinhardtii.60_100	XP_042922719.1	1
66	09121 Transcription	03040 Spliceosome [PATH:ko03040]	K03283  HSPA1s; heat shock 70ka protein 1/2/6/8		Chlamydomonas_reinhardtii.60_100	XP_001701326.1, XP_001691146.2	2
67	09121 Transcription	03040 Spliceosome [PATH:ko03040]	K13025  EIF4A3, FAL1; ATP-dependent RNA helicase 		Chlamydomonas_reinhardtii.60_100	XP_001691452.2	1
68	09121 Transcription	03040 Spliceosome [PATH:ko03040]	K12896  SFRS7; splicing factor, arginine/serine-rich 7		Chlamydomonas_reinhardtii.60_100	XP_001696769.1	1
69	09121 Transcription	03040 Spliceosome [PATH:ko03040]	K12900  FUSIP1; FUS-interacting serine-arginine-rich protein 1		Chlamydomonas_reinhardtii.60_100	XP_001693758.2	1
70	09122 Translation	03010 Ribosome [PATH:ko03010]	K02978  RP-S27e, RPS27; small subunit ribosomal protein S27e		Chlamydomonas_reinhardtii.60_100	XP_001694878.1	1
71	09122 Translation	03010 Ribosome [PATH:ko03010]	K02927  RP-L40e, RPL40, UBA52; ubiquitin-large subunit ribosomal protein L40e		Chlamydomonas_reinhardtii.60_100	XP_001694608.1	1
72	09122 Translation	00970 Aminoacyl-tRNA biosynthesis [PATH:ko00970]	K01870  IARS, ileS; isoleucyl-tRNA synthetase 		Chlamydomonas_reinhardtii.60_100	XP_001698234.1	1
73	09122 Translation	03013 RNA transport [PATH:ko03013]	K03231  EEF1A; elongation factor 1-alpha		Chlamydomonas_reinhardtii.60_100	XP_001696568.1	1
74	09122 Translation	03013 RNA transport [PATH:ko03013]	K12160  SUMO, SMT3; small ubiquitin-related modifier		Chlamydomonas_reinhardtii.60_100	XP_042914618.1	1
75	09122 Translation	03013 RNA transport [PATH:ko03013]	K03257  EIF4A; translation initiation factor 4A		Chlamydomonas_reinhardtii.60_100	XP_001691452.2	1
76	09122 Translation	03015 mRNA surveillance pathway [PATH:ko03015]	K04382  PPP2C; serine/threonine-protein phosphatase 2A catalytic subunit 		Chlamydomonas_reinhardtii.60_100	XP_001691361.1	1
77	09122 Translation	03008 Ribosome biogenesis in eukaryotes [PATH:ko03008]	K03097  CSNK2A; casein kinase II subunit alpha 		Chlamydomonas_reinhardtii.60_100	XP_001701441.1	1
78	09122 Translation	03008 Ribosome biogenesis in eukaryotes [PATH:ko03008]	K11129  NHP2, NOLA2; H/ACA ribonucleoprotein complex subunit 2		Chlamydomonas_reinhardtii.60_100	XP_001699242.1	1
79	09123 Folding, sorting and degradation	03060 Protein export [PATH:ko03060]	K09490  HSPA5, BIP; endoplasmic reticulum chaperone BiP 		Chlamydomonas_reinhardtii.60_100	XP_001701326.1	1
80	09123 Folding, sorting and degradation	04141 Protein processing in endoplasmic reticulum [PATH:ko04141]	K13993  HSP20; HSP20 family protein		Chlamydomonas_reinhardtii.60_100	XP_001701015.1, XP_001689821.1	2
81	09123 Folding, sorting and degradation	04141 Protein processing in endoplasmic reticulum [PATH:ko04141]	K06689  UBE2, UBC4, UBC5; ubiquitin-conjugating enzyme E2 		Chlamydomonas_reinhardtii.60_100	XP_001699308.1	1
82	09123 Folding, sorting and degradation	04141 Protein processing in endoplasmic reticulum [PATH:ko04141]	K04556  PARK2; parkin 		Chlamydomonas_reinhardtii.60_100	XP_042919103.1	1
83	09123 Folding, sorting and degradation	04130 SNARE interactions in vesicular transport [PATH:ko04130]	K08506  SYP7; syntaxin of plants SYP7		Chlamydomonas_reinhardtii.60_100	XP_001700030.1	1
84	09123 Folding, sorting and degradation	04120 Ubiquitin mediated proteolysis [PATH:ko04120]	K20217  UBE2E; ubiquitin-conjugating enzyme E2 E 		Chlamydomonas_reinhardtii.60_100	XP_001699308.1	1
85	09123 Folding, sorting and degradation	03018 RNA degradation [PATH:ko03018]	K12598  MTR4, SKIV2L2; ATP-dependent RNA helicase OB1 		Chlamydomonas_reinhardtii.60_100	XP_042924112.1	1
86	09123 Folding, sorting and degradation	03018 RNA degradation [PATH:ko03018]	K04043  dnaK, HSPA9; molecular chaperone naK		Chlamydomonas_reinhardtii.60_100	XP_042927834.1	1
87	09123 Folding, sorting and degradation	03018 RNA degradation [PATH:ko03018]	K04077  groEL, HSP1; chaperonin GroEL		Chlamydomonas_reinhardtii.60_100	XP_001692504.1	1
88	09124 Replication and repair	03030 DNA replication [PATH:ko03030]	K04799  FEN1, RA2; flap endonuclease-1 		Chlamydomonas_reinhardtii.60_100	XP_001699242.1	1
89	09131 Membrane transport	02010 AB transporters [PATH:ko02010]	K02040  pstS; phosphate transport system substrate-binding protein		Chlamydomonas_reinhardtii.60_100	XP_042928753.1	1
90	09131 Membrane transport	02010 AB transporters [PATH:ko02010]	K05643  ABCA3; ATP-binding cassette, subfamily A (ABC1), member 3		Chlamydomonas_reinhardtii.60_100	XP_042924019.1	1
91	09131 Membrane transport	02010 AB transporters [PATH:ko02010]	K05658  ABCB1, C243; ATP-binding cassette, subfamily B (MR/TAP), member 1 		Chlamydomonas_reinhardtii.60_100	XP_042914787.1	1
92	09132 Signal transduction	04014 Ras signaling pathway [PATH:ko04014]	K02183  CALM; calmodulin		Chlamydomonas_reinhardtii.60_100	XP_001703260.2	1
93	09132 Signal transduction	04014 Ras signaling pathway [PATH:ko04014]	K04371  ERK, MAPK1_3; mitogen-activated protein kinase 1/3 		Chlamydomonas_reinhardtii.60_100	XP_001700291.1	1
94	09132 Signal transduction	04015 Rap1 signaling pathway [PATH:ko04015]	K02105  CTNNB1; catenin beta 1		Chlamydomonas_reinhardtii.60_100	XP_001693849.2	1
95	09132 Signal transduction	04015 Rap1 signaling pathway [PATH:ko04015]	K23487  EVL; Ena/VASP-like protein		Chlamydomonas_reinhardtii.60_100	XP_042916474.1	1
96	09132 Signal transduction	04010 MAPK signaling pathway [PATH:ko04010]	K04373  RPS6KA; ribosomal protein S6 kinase alpha-1/2/3/6 		Chlamydomonas_reinhardtii.60_100	XP_001700175.2	1
97	09132 Signal transduction	04010 MAPK signaling pathway [PATH:ko04010]	K04419  MAP3K11, MLK3; mitogen-activated protein kinase kinase kinase 11 		Chlamydomonas_reinhardtii.60_100	XP_042921047.1	1
98	09132 Signal transduction	04010 MAPK signaling pathway [PATH:ko04010]	K04437  FLNA; filamin		Chlamydomonas_reinhardtii.60_100	XP_042920267.1	1
99	09132 Signal transduction	04013 MAPK signaling pathway - fly [PATH:ko04013]	K08892  FRK, PTK5; fyn-related kinase 		Chlamydomonas_reinhardtii.60_100	XP_001694443.2	1
100	09132 Signal transduction	04016 MAPK signaling pathway - plant [PATH:ko04016]	K14512  MPK6; mitogen-activated protein kinase 6 		Chlamydomonas_reinhardtii.60_100	XP_001700291.1	1
101	09132 Signal transduction	04016 MAPK signaling pathway - plant [PATH:ko04016]	K20535  MPK1_2; mitogen-activated protein kinase 1/2 		Chlamydomonas_reinhardtii.60_100	XP_001700291.1	1
102	09132 Signal transduction	04016 MAPK signaling pathway - plant [PATH:ko04016]	K14498  SNRK2; serine/threonine-protein kinase SRK2 		Chlamydomonas_reinhardtii.60_100	XP_001701605.1	1
103	09132 Signal transduction	04011 MAPK signaling pathway - yeast [PATH:ko04011]	K06630  YWHAE; 14-3-3 protein epsilon		Chlamydomonas_reinhardtii.60_100	XP_001696613.1	1
104	09132 Signal transduction	04310 Wnt signaling pathway [PATH:ko04310]	K17334  NFATC4, NFAT3; nuclear factor of activated T-cells, cytoplasmic 4		Chlamydomonas_reinhardtii.60_100	XP_001692736.2	1
105	09132 Signal transduction	04340 Hedgehog signaling pathway [PATH:ko04340]	K10523  SPOP; speckle-type POZ protein		Chlamydomonas_reinhardtii.60_100	XP_001689973.1	1
106	09132 Signal transduction	04390 Hippo signaling pathway [PATH:ko04390]	K24050  LG5; discs large protein 5		Chlamydomonas_reinhardtii.60_100	XP_042914744.1	1
107	09132 Signal transduction	04371 Apelin signaling pathway [PATH:ko04371]	K18050  PRKCE; novel protein kinase C epsilon type 		Chlamydomonas_reinhardtii.60_100	XP_042926332.1	1
108	09132 Signal transduction	04020 alcium signaling pathway [PATH:ko04020]	K15040  VAC2; voltage-dependent anion channel protein 2		Chlamydomonas_reinhardtii.60_100	XP_001689450.1	1
109	09132 Signal transduction	04072 Phospholipase D signaling pathway [PATH:ko04072]	K07937  ARF1_2; AP-ribosylation factor 1/2		Chlamydomonas_reinhardtii.60_100	XP_001690893.1	1
110	09141 Transport and catabolism	04144 Endocytosis [PATH:ko04144]	K19475  WIPF; WAS/WASL-interacting protein		Chlamydomonas_reinhardtii.60_100	XP_042920505.1, XP_042924985.1	2
111	09141 Transport and catabolism	04145 Phagosome [PATH:ko04145]	K07374  TUBA; tubulin alpha		Chlamydomonas_reinhardtii.60_100	XP_001691876.1	1
112	09141 Transport and catabolism	04145 Phagosome [PATH:ko04145]	K07375  TUBB; tubulin beta		Chlamydomonas_reinhardtii.60_100	XP_001693997.1	1
113	09141 Transport and catabolism	04142 Lysosome [PATH:ko04142]	K19363  LITAF; lipopolysaccharide-induced tumor necrosis factor-alpha factor		Chlamydomonas_reinhardtii.60_100	XP_042922610.1	1
114	09141 Transport and catabolism	04146 Peroxisome [PATH:ko04146]	K13348  MPV17; protein Mpv17		Chlamydomonas_reinhardtii.60_100	XP_001694102.2	1
115	09143 Cell growth and death	04112 ell cycle - aulobacter [PATH:ko04112]	K01358  clpP, CLPP; ATP-dependent Clp protease, protease subunit 		Chlamydomonas_reinhardtii.60_100	XP_001690778.1	1
116	09143 Cell growth and death	04114 Oocyte meiosis [PATH:ko04114]	K11481  AURKA; aurora kinase A 		Chlamydomonas_reinhardtii.60_100	XP_042927540.1	1
117	09143 Cell growth and death	04214 Apoptosis - fly [PATH:ko04214]	K03386  PRX2_4, ahpC; peroxiredoxin 2/4 		Chlamydomonas_reinhardtii.60_100	XP_001696611.1	1
118	09143 Cell growth and death	04217 Necroptosis [PATH:ko04217]	K05864  PPI, CYP; peptidyl-prolyl isomerase 		Chlamydomonas_reinhardtii.60_100	XP_001690215.1	1
119	09143 Cell growth and death	04217 Necroptosis [PATH:ko04217]	K11251  H2A; histone H2A		Chlamydomonas_reinhardtii.60_100	XP_001690672.1	1
120	09151 Immune system	04621 NOD-like receptor signaling pathway [PATH:ko04621]	K14216  OAS; 2'-5'-oligoadenylate synthetase 		Chlamydomonas_reinhardtii.60_100	XP_042917848.1	1
121	09152 Endocrine system	04922 Glucagon signaling pathway [PATH:ko04922]	K15423  PPP4C; serine/threonine-protein phosphatase 4 catalytic subunit 		Chlamydomonas_reinhardtii.60_100	XP_001691361.1	1
122	09152 Endocrine system	04614 Renin-angiotensin system [PATH:ko04614]	K01322  PREP; prolyl oligopeptidase 		Chlamydomonas_reinhardtii.60_100	XP_042919183.1	1
123	09154 Digestive system	04970 Salivary secretion [PATH:ko04970]	K13912  MBT1; deleted in malignant brain tumors 1 protein		Chlamydomonas_reinhardtii.60_100	XP_042922320.1	1
124	09154 Digestive system	04974 Protein digestion and absorption [PATH:ko04974]	K14207  SLC38A2, SNAT2; solute carrier family 38 (sodium-coupled neutral amino acid transporter), member 2		Chlamydomonas_reinhardtii.60_100	XP_001694884.1	1
125	09158 Development and regeneration	04361 Axon regeneration [PATH:ko04361]	K11593  ELF2C, AGO; eukaryotic translation initiation factor 2C		Chlamydomonas_reinhardtii.60_100	XP_042916315.1	1
126	09149 Aging	04213 Longevity regulating pathway - multiple species [PATH:ko04213]	K03695  clpB; ATP-dependent Clp protease ATP-binding subunit ClpB		Chlamydomonas_reinhardtii.60_100	XP_042919326.1	1
127	09159 Environmental adaptation	04714 Thermogenesis [PATH:ko04714]	K15109  SLC25A20_29, CACT, CACL, CRC1; solute carrier family 25 (mitochondrial carnitine/acylcarnitine transporter), member 20/29		Chlamydomonas_reinhardtii.60_100	XP_001692197.1	1
128	09159 Environmental adaptation	04626 Plant-pathogen interaction [PATH:ko04626]	K13412  CPK; calcium-dependent protein kinase 		Chlamydomonas_reinhardtii.60_100	XP_042919823.1	1
129	09161 Cancer: overview	05202 Transcriptional misregulation in cancer [PATH:ko05202]	K11253  H3; histone H3		Chlamydomonas_reinhardtii.60_100	XP_001690671.1	1
130	09161 Cancer: overview	05203 Viral carcinogenesis [PATH:ko05203]	K11252  H2B; histone H2B		Chlamydomonas_reinhardtii.60_100	XP_001690668.1	1
131	09161 Cancer: overview	05203 Viral carcinogenesis [PATH:ko05203]	K11254  H4; histone H4		Chlamydomonas_reinhardtii.60_100	XP_001690721.1	1
132	09163 Immune disease	05322 Systemic lupus erythematosus [PATH:ko05322]	K11089  TROVE2, SSA2; 60 ka SS-A/Ro ribonucleoprotein		Chlamydomonas_reinhardtii.60_100	XP_042914800.1	1
133	09164 Neurodegenerative disease	05016 Huntington disease [PATH:ko05016]	K04418  MAP3K10, MLK2; mitogen-activated protein kinase kinase kinase 10 		Chlamydomonas_reinhardtii.60_100	XP_042921047.1	1
134	09171 Infectious disease: bacterial	05132 Salmonella infection [PATH:ko05132]	K10419  YNLRB, NCL2; dynein light chain roadblock-type		Chlamydomonas_reinhardtii.60_100	XP_001694381.1	1
135	09181 Protein families: metabolism	01001 Protein kinases [BR:ko01001]	K08867  WNK, PRKWNK; WNK lysine deficient protein kinase 		Chlamydomonas_reinhardtii.60_100	XP_001690141.1	1
136	09181 Protein families: metabolism	01001 Protein kinases [BR:ko01001]	K00898  PK2_3_4; pyruvate dehydrogenase kinase 2/3/4 		Chlamydomonas_reinhardtii.60_100	XP_042923928.1	1
137	09181 Protein families: metabolism	01001 Protein kinases [BR:ko01001]	K12132  prkC, stkP; eukaryotic-like serine/threonine-protein kinase 		Chlamydomonas_reinhardtii.60_100	XP_001690935.1, XP_042923935.1	2
138	09181 Protein families: metabolism	01009 Protein phosphatases and associated proteins [BR:ko01009]	K17586  PHRF1; PH and RING finger domain-containing protein 1		Chlamydomonas_reinhardtii.60_100	XP_042918962.1	1
139	09181 Protein families: metabolism	01009 Protein phosphatases and associated proteins [BR:ko01009]	K17609  NXN; nucleoredoxin 		Chlamydomonas_reinhardtii.60_100	XP_001701806.1	1
