NP_000026.2	NP_000026.2; NP_005156.1	364; 364	Pfam	PF00274; PF00274	Fructose-bisphosphate aldolase class-I; Fructose-bisphosphate aldolase class-I	5.2E-173; 8.4E-181	IPR000741; IPR000741	Fructose-bisphosphate aldolase, class-I; Fructose-bisphosphate aldolase, class-I
NP_000282.1	NP_000282.1; NP_620061.2	417; 417	Pfam	PF00162; PF00162	Phosphoglycerate kinase; Phosphoglycerate kinase	8.8E-151; 1.8E-148	IPR001576; IPR001576	Phosphoglycerate kinase; Phosphoglycerate kinase
NP_000335.1	NP_059107.1; NP_000335.1	294; 294	Pfam	PF06003; PF06003	Survival motor neuron protein (SMN); Survival motor neuron protein (SMN)	6.7E-104; 6.7E-104	IPR010304; IPR010304	Survival motor neuron; Survival motor neuron
NP_000381.1	NP_000381.1; NP_001368783.1	653; 656	Pfam	PF00996; PF00996	GDP dissociation inhibitor; GDP dissociation inhibitor	1.7E-42; 2.5E-45	IPR018203; IPR018203	GDP dissociation inhibitor; GDP dissociation inhibitor
NP_000385.1	NP_001300979.1; NP_000385.1	173; 173	Pfam	PF00011, PF00525; PF00011, PF00525	Hsp20/alpha crystallin family, Alpha crystallin A chain, N terminal; Hsp20/alpha crystallin family, Alpha crystallin A chain, N terminal	2.7E-22, 2.1E-25; 2.7E-22, 2.1E-25	IPR002068, IPR003090; IPR002068, IPR003090	Alpha crystallin/Hsp20 domain, Alpha-crystallin, N-terminal; Alpha crystallin/Hsp20 domain, Alpha-crystallin, N-terminal
NP_000420.1	NP_000420.1; NP_005902.1	395; 395	Pfam	PF00438, PF02773, PF02772; PF00438, PF02772, PF02773	S-adenosylmethionine synthetase, N-terminal domain, S-adenosylmethionine synthetase, C-terminal domain, S-adenosylmethionine synthetase, central domain; S-adenosylmethionine synthetase, N-terminal domain, S-adenosylmethionine synthetase, central domain, S-adenosylmethionine synthetase, C-terminal domain	2.5E-43, 2.2E-68, 7.1E-46; 3.6E-44, 5.1E-47, 1.5E-67	IPR022628, IPR022630, IPR022629; IPR022628, IPR022629, IPR022630	S-adenosylmethionine synthetase, N-terminal, S-adenosylmethionine synthetase, C-terminal, S-adenosylmethionine synthetase, central domain; S-adenosylmethionine synthetase, N-terminal, S-adenosylmethionine synthetase, central domain, S-adenosylmethionine synthetase, C-terminal
NP_000423.2	NP_000423.2; NP_001311388.1	166; 169	Pfam	PF00036; PF13405	EF hand; EF-hand domain	3.4E-6; 2.8E-5	IPR002048; IPR002048	EF-hand domain; EF-hand domain
NP_000442.1	NP_000442.1; NP_005160.2	292; 284	Pfam	PF03826, PF00046; PF00046	OAR motif, Homeodomain; Homeodomain	4.0E-7, 1.2E-24; 6.2E-23	IPR003654, IPR001356; IPR001356	OAR domain, Homeobox domain; Homeobox domain
NP_000454.1	NP_000454.1; NP_061966.1; NP_061951.1; NP_009051.1; NP_001063.2; NP_066307.1; NP_061949.3; NP_061950.2; NP_061948.1	533; 534; 534; 534; 532; 530; 530; 530; 530	Pfam	PF00201; PF00201; PF00201; PF00201; PF00201; PF00201; PF00201; PF00201; PF00201	UDP-glucoronosyl and UDP-glucosyl transferase; UDP-glucoronosyl and UDP-glucosyl transferase; UDP-glucoronosyl and UDP-glucosyl transferase; UDP-glucoronosyl and UDP-glucosyl transferase; UDP-glucoronosyl and UDP-glucosyl transferase; UDP-glucoronosyl and UDP-glucosyl transferase; UDP-glucoronosyl and UDP-glucosyl transferase; UDP-glucoronosyl and UDP-glucosyl transferase; UDP-glucoronosyl and UDP-glucosyl transferase	4.4E-251; 5.6E-254; 6.6E-249; 1.1E-246; 7.0E-246; 9.7E-247; 3.5E-245; 1.7E-240; 1.9E-242	IPR002213; IPR002213; IPR002213; IPR002213; IPR002213; IPR002213; IPR002213; IPR002213; IPR002213	UDP-glucuronosyl/UDP-glucosyltransferase; UDP-glucuronosyl/UDP-glucosyltransferase; UDP-glucuronosyl/UDP-glucosyltransferase; UDP-glucuronosyl/UDP-glucosyltransferase; UDP-glucuronosyl/UDP-glucosyltransferase; UDP-glucuronosyl/UDP-glucosyltransferase; UDP-glucuronosyl/UDP-glucosyltransferase; UDP-glucuronosyl/UDP-glucosyltransferase; UDP-glucuronosyl/UDP-glucosyltransferase
NP_000488.3	NP_000488.3; NP_000489.3	503; 503	Pfam	PF00067; PF00067	Cytochrome P450; Cytochrome P450	1.9E-104; 5.8E-107	IPR001128; IPR001128	Cytochrome P450; Cytochrome P450
NP_000490.1	NP_000490.1; NP_000752.2	512; 516	Pfam	PF00067; PF00067	Cytochrome P450; Cytochrome P450	4.0E-108; 6.2E-104	IPR001128; IPR001128	Cytochrome P450; Cytochrome P450
NP_000498.2	NP_000498.2; NP_003828.2	338; 339	Pfam	PF18913, PF00316; PF00316, PF18913	Fructose-1-6-bisphosphatase, C-terminal domain, Fructose-1-6-bisphosphatase, N-terminal domain; Fructose-1-6-bisphosphatase, N-terminal domain, Fructose-1-6-bisphosphatase, C-terminal domain	2.8E-52, 3.6E-84; 6.8E-75, 6.1E-53	IPR044015, IPR033391; IPR033391, IPR044015	Fructose-1-6-bisphosphatase class 1, C-terminal, Fructose-1-6-bisphosphatase class I, N-terminal; Fructose-1-6-bisphosphatase class I, N-terminal, Fructose-1-6-bisphosphatase class 1, C-terminal
NP_000504.1	NP_001316996.1; NP_001041646.1; NP_000504.1; NP_064445.2	364; 364; 364; 364	Pfam	PF00001; PF00001; PF00001; PF00001	7 transmembrane receptor (rhodopsin family); 7 transmembrane receptor (rhodopsin family); 7 transmembrane receptor (rhodopsin family); 7 transmembrane receptor (rhodopsin family)	1.5E-39; 1.5E-39; 1.5E-39; 1.2E-39	IPR000276; IPR000276; IPR000276; IPR000276	G protein-coupled receptor, rhodopsin-like; G protein-coupled receptor, rhodopsin-like; G protein-coupled receptor, rhodopsin-like; G protein-coupled receptor, rhodopsin-like
NP_000506.2	NP_000506.2; NP_066271.1; NP_001308.1	217; 217; 217	Pfam	PF00103; PF00103; PF00103	Somatotropin hormone family; Somatotropin hormone family; Somatotropin hormone family	5.2E-62; 1.2E-62; 1.2E-62	IPR001400; IPR001400; IPR001400	Somatotropin/prolactin; Somatotropin/prolactin; Somatotropin/prolactin
NP_000508.1	NP_000549.1; NP_000508.1	142; 142	Pfam	PF00042; PF00042	Globin; Globin	1.0E-28; 1.0E-28	IPR000971; IPR000971	Globin; Globin
NP_000517.3	NP_000517.3; NP_005548.2; XP_011523086.1; NP_705694.3	472; 473; 463; 458	Pfam	PF00038; PF00038; PF00038; PF00038	Intermediate filament protein; Intermediate filament protein; Intermediate filament protein; Intermediate filament protein	5.1E-122; 2.3E-118; 1.2E-115; 2.1E-119	IPR039008; IPR039008; IPR039008; IPR039008	Intermediate filament, rod domain; Intermediate filament, rod domain; Intermediate filament, rod domain; Intermediate filament, rod domain
NP_000552.2	NP_000552.2; NP_000842.2; NP_000839.1; NP_000840.2	218; 218; 218; 225	Pfam	PF02798, PF14497; PF00043, PF02798; PF02798, PF00043; PF02798, PF00043	Glutathione S-transferase, N-terminal domain, Glutathione S-transferase, C-terminal domain; Glutathione S-transferase, C-terminal domain, Glutathione S-transferase, N-terminal domain; Glutathione S-transferase, N-terminal domain, Glutathione S-transferase, C-terminal domain; Glutathione S-transferase, N-terminal domain, Glutathione S-transferase, C-terminal domain	1.2E-20, 1.1E-16; 2.7E-14, 9.8E-21; 2.4E-22, 4.9E-17; 2.9E-22, 4.8E-19	IPR004045, IPR004046; IPR004046, IPR004045; IPR004045, IPR004046; IPR004045, IPR004046	Glutathione S-transferase, N-terminal, Glutathione S-transferase, C-terminal; Glutathione S-transferase, C-terminal, Glutathione S-transferase, N-terminal; Glutathione S-transferase, N-terminal, Glutathione S-transferase, C-terminal; Glutathione S-transferase, N-terminal, Glutathione S-transferase, C-terminal
NP_000596.2	NP_000596.2; NP_002160.1; NP_066282.1; NP_002163.2; NP_066546.1; NP_008831.3; NP_002164.1; NP_067091.1; NP_076918.1; NP_002166.2; NP_002162.1; NP_002161.2; NP_066401.2	188; 189; 189; 189; 189; 190; 189; 189; 189; 189; 189; 189; 189	Pfam	PF00143; PF00143; PF00143; PF00143; PF00143; PF00143; PF00143; PF00143; PF00143; PF00143; PF00143; PF00143; PF00143	Interferon alpha/beta domain; Interferon alpha/beta domain; Interferon alpha/beta domain; Interferon alpha/beta domain; Interferon alpha/beta domain; Interferon alpha/beta domain; Interferon alpha/beta domain; Interferon alpha/beta domain; Interferon alpha/beta domain; Interferon alpha/beta domain; Interferon alpha/beta domain; Interferon alpha/beta domain; Interferon alpha/beta domain	1.5E-64; 4.3E-68; 1.3E-64; 5.0E-67; 1.4E-67; 5.2E-66; 5.1E-66; 3.7E-67; 5.1E-66; 2.3E-66; 4.9E-67; 5.1E-65; 4.1E-66	IPR000471; IPR000471; IPR000471; IPR000471; IPR000471; IPR000471; IPR000471; IPR000471; IPR000471; IPR000471; IPR000471; IPR000471; IPR000471	Interferon alpha/beta/delta; Interferon alpha/beta/delta; Interferon alpha/beta/delta; Interferon alpha/beta/delta; Interferon alpha/beta/delta; Interferon alpha/beta/delta; Interferon alpha/beta/delta; Interferon alpha/beta/delta; Interferon alpha/beta/delta; Interferon alpha/beta/delta; Interferon alpha/beta/delta; Interferon alpha/beta/delta; Interferon alpha/beta/delta
NP_000598.2	NP_000598.2; NP_000599.1	201; 201	Pfam	PF00061; PF00061	Lipocalin / cytosolic fatty-acid binding protein family; Lipocalin / cytosolic fatty-acid binding protein family	1.5E-18; 1.1E-17	IPR000566; IPR000566	Lipocalin/cytosolic fatty-acid binding domain; Lipocalin/cytosolic fatty-acid binding domain
NP_000625.1	NP_000625.1; XP_016859479.1	350; 360	Pfam	PF00001; PF00001	7 transmembrane receptor (rhodopsin family); 7 transmembrane receptor (rhodopsin family)	1.1E-56; 5.5E-54	IPR000276; IPR000276	G protein-coupled receptor, rhodopsin-like; G protein-coupled receptor, rhodopsin-like
NP_000658.1	NP_000658.1; NP_000659.2; NP_000660.1	375; 375; 375	Pfam	PF00107, PF08240; PF08240, PF00107; PF00107, PF08240	Zinc-binding dehydrogenase, Alcohol dehydrogenase GroES-like domain; Alcohol dehydrogenase GroES-like domain, Zinc-binding dehydrogenase; Zinc-binding dehydrogenase, Alcohol dehydrogenase GroES-like domain	5.3E-27, 1.6E-26; 2.1E-26, 2.9E-26; 1.1E-26, 1.2E-26	IPR013149, IPR013154; IPR013154, IPR013149; IPR013149, IPR013154	Alcohol dehydrogenase, C-terminal, Alcohol dehydrogenase, N-terminal; Alcohol dehydrogenase, N-terminal, Alcohol dehydrogenase, C-terminal; Alcohol dehydrogenase, C-terminal, Alcohol dehydrogenase, N-terminal
NP_000672.3	NP_000672.3; NP_000674.2	465; 462	Pfam	PF00001; PF00001	7 transmembrane receptor (rhodopsin family); 7 transmembrane receptor (rhodopsin family)	3.6E-74; 3.8E-74	IPR000276; IPR000276	G protein-coupled receptor, rhodopsin-like; G protein-coupled receptor, rhodopsin-like
NP_000681.2	NP_000681.2; NP_000683.3	517; 517	Pfam	PF00171; PF00171	Aldehyde dehydrogenase family; Aldehyde dehydrogenase family	6.1E-183; 3.1E-186	IPR015590; IPR015590	Aldehyde dehydrogenase domain; Aldehyde dehydrogenase domain
NP_000684.2	NP_000684.2; NP_003879.2	512; 518	Pfam	PF00171; PF00171	Aldehyde dehydrogenase family; Aldehyde dehydrogenase family	1.6E-186; 5.2E-186	IPR015590; IPR015590	Aldehyde dehydrogenase domain; Aldehyde dehydrogenase domain
NP_000690.1	NP_000690.1; NP_066188.1; XP_016856547.1; NP_001373854.1; NP_004029.2	511; 511; 511; 511; 511	Pfam	PF02806, PF00128; PF00128, PF02806; PF00128, PF02806; PF00128, PF02806; PF00128, PF02806	Alpha amylase, C-terminal all-beta domain, Alpha amylase, catalytic domain; Alpha amylase, catalytic domain, Alpha amylase, C-terminal all-beta domain; Alpha amylase, catalytic domain, Alpha amylase, C-terminal all-beta domain; Alpha amylase, catalytic domain, Alpha amylase, C-terminal all-beta domain; Alpha amylase, catalytic domain, Alpha amylase, C-terminal all-beta domain	4.6E-15, 2.2E-14; 4.3E-15, 5.4E-15; 4.3E-14, 5.4E-15; 4.3E-14, 5.4E-15; 4.3E-14, 5.4E-15	IPR006048, IPR006047; IPR006047, IPR006048; IPR006047, IPR006048; IPR006047, IPR006048; IPR006047, IPR006048	Alpha-amylase/branching enzyme, C-terminal all beta, Glycosyl hydrolase, family 13, catalytic domain; Glycosyl hydrolase, family 13, catalytic domain, Alpha-amylase/branching enzyme, C-terminal all beta; Glycosyl hydrolase, family 13, catalytic domain, Alpha-amylase/branching enzyme, C-terminal all beta; Glycosyl hydrolase, family 13, catalytic domain, Alpha-amylase/branching enzyme, C-terminal all beta; Glycosyl hydrolase, family 13, catalytic domain, Alpha-amylase/branching enzyme, C-terminal all beta
NP_000692.2	NP_000692.2; NP_001243143.1; NP_000693.1; NP_653300.2	1023; 1026; 1020; 1029	Pfam	PF00690, PF00122, PF13246, PF00689; PF00690, PF00122, PF13246, PF00689; PF00122, PF13246, PF00689, PF00690; PF00689, PF13246, PF00690, PF00122	Cation transporter/ATPase, N-terminus, E1-E2 ATPase, Cation transport ATPase (P-type), Cation transporting ATPase, C-terminus; Cation transporter/ATPase, N-terminus, E1-E2 ATPase, Cation transport ATPase (P-type), Cation transporting ATPase, C-terminus; E1-E2 ATPase, Cation transport ATPase (P-type), Cation transporting ATPase, C-terminus, Cation transporter/ATPase, N-terminus; Cation transporting ATPase, C-terminus, Cation transport ATPase (P-type), Cation transporter/ATPase, N-terminus, E1-E2 ATPase	1.4E-16, 1.7E-45, 1.2E-22, 2.8E-44; 3.0E-17, 1.3E-45, 2.5E-23, 3.3E-44; 4.5E-46, 2.2E-22, 1.4E-43, 2.9E-16; 6.7E-45, 4.2E-22, 5.4E-12, 1.9E-45	IPR004014, -, -, IPR006068; IPR004014, -, -, IPR006068; -, -, IPR006068, IPR004014; IPR006068, -, IPR004014, -	Cation-transporting P-type ATPase, N-terminal, -, -, Cation-transporting P-type ATPase, C-terminal; Cation-transporting P-type ATPase, N-terminal, -, -, Cation-transporting P-type ATPase, C-terminal; -, -, Cation-transporting P-type ATPase, C-terminal, Cation-transporting P-type ATPase, N-terminal; Cation-transporting P-type ATPase, C-terminal, -, Cation-transporting P-type ATPase, N-terminal, -
NP_000728.1	NP_149439.1; NP_149032.1; NP_000728.1; NP_149133.1; NP_203695.2	165; 165; 165; 165; 155	Pfam	PF00007; PF00007; PF00007; PF00007; PF00007	Cystine-knot domain; Cystine-knot domain; Cystine-knot domain; Cystine-knot domain; Cystine-knot domain	2.5E-34; 2.5E-34; 2.5E-34; 2.5E-34; 2.0E-34	IPR006208; IPR006208; IPR006208; IPR006208; IPR006208	Glycoprotein hormone subunit beta; Glycoprotein hormone subunit beta; Glycoprotein hormone subunit beta; Glycoprotein hormone subunit beta; Glycoprotein hormone subunit beta
NP_000753.3	NP_000753.3; NP_000757.2; NP_000755.2	494; 494; 494	Pfam	PF00067; PF00067; PF00067	Cytochrome P450; Cytochrome P450; Cytochrome P450	1.6E-150; 1.9E-150; 6.2E-147	IPR001128; IPR001128; IPR001128	Cytochrome P450; Cytochrome P450; Cytochrome P450
NP_000756.3	NP_000756.3; NP_059488.2; NP_000768.1; NP_073731.1	503; 503; 502; 504	Pfam	PF00067; PF00067; PF00067; PF00067	Cytochrome P450; Cytochrome P450; Cytochrome P450; Cytochrome P450	2.7E-128; 4.1E-133; 5.4E-132; 3.8E-127	IPR001128; IPR001128; IPR001128; IPR001128	Cytochrome P450; Cytochrome P450; Cytochrome P450; Cytochrome P450
NP_000760.1	NP_000760.1; NP_000762.2; NP_000763.1; NP_000761.3	490; 490; 490; 490	Pfam	PF00067; PF00067; PF00067; PF00067	Cytochrome P450; Cytochrome P450; Cytochrome P450; Cytochrome P450	1.5E-159; 3.3E-162; 2.1E-163; 8.4E-162	IPR001128; IPR001128; IPR001128; IPR001128	Cytochrome P450; Cytochrome P450; Cytochrome P450; Cytochrome P450
NP_000769.2	NP_000769.2; NP_001010969.2	519; 519	Pfam	PF00067; PF00067	Cytochrome P450; Cytochrome P450	5.2E-131; 6.4E-125	IPR001128; IPR001128	Cytochrome P450; Cytochrome P450
NP_000782.1	NP_000782.1; NP_789785.1	187; 187	Pfam	PF00186; PF00186	Dihydrofolate reductase; Dihydrofolate reductase	2.1E-32; 2.2E-29	IPR001796; IPR001796	Dihydrofolate reductase domain; Dihydrofolate reductase domain
NP_000793.1	NP_000793.1; XP_005273913.1	257; 264	Pfam	PF03024; PF03024	Folate receptor family; Folate receptor family	2.3E-66; 5.5E-64	IPR018143; IPR018143	Folate receptor-like; Folate receptor-like
NP_000803.2	NP_000803.2; NP_068712.1	474; 473	Pfam	PF02932, PF02931; PF02932, PF02931	Neurotransmitter-gated ion-channel transmembrane region, Neurotransmitter-gated ion-channel ligand binding domain; Neurotransmitter-gated ion-channel transmembrane region, Neurotransmitter-gated ion-channel ligand binding domain	1.0E-47, 3.7E-50; 4.5E-46, 3.8E-49	IPR006029, IPR006202; IPR006029, IPR006202	Neurotransmitter-gated ion-channel transmembrane domain, Neurotransmitter-gated ion-channel ligand-binding domain; Neurotransmitter-gated ion-channel transmembrane domain, Neurotransmitter-gated ion-channel ligand-binding domain
NP_000819.4	NP_000819.4; XP_005271575.1	894; 902	Pfam	PF01094, PF10613, PF00060; PF01094, PF10613, PF00060	Receptor family ligand binding region, Ligated ion channel L-glutamate- and glycine-binding site, Ligand-gated ion channel; Receptor family ligand binding region, Ligated ion channel L-glutamate- and glycine-binding site, Ligand-gated ion channel	4.6E-60, 9.3E-46, 9.8E-59; 1.2E-63, 1.8E-45, 5.2E-59	IPR001828, IPR019594, IPR001320; IPR001828, IPR019594, IPR001320	Receptor, ligand binding region, Ionotropic glutamate receptor, L-glutamate and glycine-binding domain, Ionotropic glutamate receptor; Receptor, ligand binding region, Ionotropic glutamate receptor, L-glutamate and glycine-binding domain, Ionotropic glutamate receptor
NP_000832.1	NP_000832.1; NP_870989.1; NP_001358015.1	912; 922; 928	Pfam	PF00003, PF01094, PF07562; PF07562, PF01094, PF00003; PF07562, PF01094, PF00003	7 transmembrane sweet-taste receptor of 3 GCPR, Receptor family ligand binding region, Nine Cysteines Domain of family 3 GPCR; Nine Cysteines Domain of family 3 GPCR, Receptor family ligand binding region, 7 transmembrane sweet-taste receptor of 3 GCPR; Nine Cysteines Domain of family 3 GPCR, Receptor family ligand binding region, 7 transmembrane sweet-taste receptor of 3 GCPR	6.6E-61, 1.8E-111, 3.8E-14; 2.0E-13, 1.2E-106, 5.2E-62; 4.0E-13, 4.7E-107, 2.1E-61	IPR017978, IPR001828, IPR011500; IPR011500, IPR001828, IPR017978; IPR011500, IPR001828, IPR017978	GPCR family 3, C-terminal, Receptor, ligand binding region, GPCR, family 3, nine cysteines domain; GPCR, family 3, nine cysteines domain, Receptor, ligand binding region, GPCR family 3, C-terminal; GPCR, family 3, nine cysteines domain, Receptor, ligand binding region, GPCR family 3, C-terminal
NP_000837.3	NP_000837.3; NP_714543.1; NP_000838.3; XP_005249091.1	222; 222; 222; 225	Pfam	PF14497, PF02798; PF14497, PF02798; PF14497, PF02798; PF02798, PF00043	Glutathione S-transferase, C-terminal domain, Glutathione S-transferase, N-terminal domain; Glutathione S-transferase, C-terminal domain, Glutathione S-transferase, N-terminal domain; Glutathione S-transferase, C-terminal domain, Glutathione S-transferase, N-terminal domain; Glutathione S-transferase, N-terminal domain, Glutathione S-transferase, C-terminal domain	3.0E-20, 2.0E-18; 2.5E-20, 8.0E-17; 2.4E-19, 6.0E-18; 1.2E-19, 1.1E-16	IPR004046, IPR004045; IPR004046, IPR004045; IPR004046, IPR004045; IPR004045, IPR004046	Glutathione S-transferase, C-terminal, Glutathione S-transferase, N-terminal; Glutathione S-transferase, C-terminal, Glutathione S-transferase, N-terminal; Glutathione S-transferase, C-terminal, Glutathione S-transferase, N-terminal; Glutathione S-transferase, N-terminal, Glutathione S-transferase, C-terminal
NP_000845.2	NP_000845.2; NP_001074312.1	244; 244	Pfam	PF02798, PF00043; PF00043, PF02798	Glutathione S-transferase, N-terminal domain, Glutathione S-transferase, C-terminal domain; Glutathione S-transferase, C-terminal domain, Glutathione S-transferase, N-terminal domain	3.3E-12, 4.4E-7; 3.8E-7, 3.3E-12	IPR004045, IPR004046; IPR004046, IPR004045	Glutathione S-transferase, N-terminal, Glutathione S-transferase, C-terminal; Glutathione S-transferase, C-terminal, Glutathione S-transferase, N-terminal
NP_000882.1	NP_000882.1; NP_066292.2	427; 433	Pfam	PF17655, PF08466, PF01007; PF01007, PF08466, PF17655	Inward rectifier potassium channel C-terminal domain, Inward rectifier potassium channel N-terminal, Inward rectifier potassium channel transmembrane domain; Inward rectifier potassium channel transmembrane domain, Inward rectifier potassium channel N-terminal, Inward rectifier potassium channel C-terminal domain	1.3E-76, 4.1E-26, 3.5E-62; 4.6E-65, 1.4E-24, 4.4E-77	IPR041647, IPR013673, IPR040445; IPR040445, IPR013673, IPR041647	Inward rectifier potassium channel, C-terminal, Potassium channel, inwardly rectifying, Kir, N-terminal, Potassium channel, inwardly rectifying, transmembrane domain; Potassium channel, inwardly rectifying, transmembrane domain, Potassium channel, inwardly rectifying, Kir, N-terminal, Inward rectifier potassium channel, C-terminal
NP_000935.1	NP_000935.1; NP_001135825.1; NP_001230903.1	521; 525; 521	Pfam	PF00149; PF00149; PF00149	Calcineurin-like phosphoesterase; Calcineurin-like phosphoesterase; Calcineurin-like phosphoesterase	9.8E-39; 9.8E-38; 1.5E-38	IPR004843; IPR004843; IPR004843	Calcineurin-like phosphoesterase domain, ApaH type; Calcineurin-like phosphoesterase domain, ApaH type; Calcineurin-like phosphoesterase domain, ApaH type
NP_000936.1	NP_000936.1; NP_671709.2	170; 170	Pfam	PF13499; PF13499	EF-hand domain pair; EF-hand domain pair	8.2E-15; 3.1E-13	IPR002048; IPR002048	EF-hand domain; EF-hand domain
NP_000958.1	NP_000958.1; XP_011520873.1	403; 412	Pfam	PF00297; PF00297	Ribosomal protein L3; Ribosomal protein L3	8.0E-194; 1.9E-172	IPR000597; IPR000597	Ribosomal protein L3; Ribosomal protein L3
NP_000974.1	NP_000974.1; NP_001093115.1	128; 122	Pfam	PF01776; PF01776	Ribosomal L22e protein family; Ribosomal L22e protein family	1.4E-53; 4.9E-49	IPR002671; IPR002671	Ribosomal protein L22e; Ribosomal protein L22e
NP_000978.1	NP_000978.1; XP_016865008.1	145; 145	Pfam	PF00467, PF16906; PF00467, PF16906	KOW motif, Ribosomal proteins L26 eukaryotic, L24P archaeal; KOW motif, Ribosomal proteins L26 eukaryotic, L24P archaeal	9.3E-8, 2.9E-43; 9.3E-8, 4.6E-43	IPR005824, IPR005756; IPR005824, IPR005756	KOW, Ribosomal protein L26/L24, eukaryotic/archaeal; KOW, Ribosomal protein L26/L24, eukaryotic/archaeal
NP_000991.1	NP_000991.1; NP_443201.1	51; 51	Pfam	PF00832; PF00832	Ribosomal L39 protein; Ribosomal L39 protein	5.2E-24; 1.0E-22	IPR000077; IPR000077	Ribosomal protein L39e; Ribosomal protein L39e
NP_000992.1	NP_000992.1; NP_066357.3	106; 106	Pfam	PF00935; PF00935	Ribosomal protein L44; Ribosomal protein L44	1.7E-38; 1.2E-38	IPR000552; IPR000552	Ribosomal protein L44e; Ribosomal protein L44e
