NP_000076.2	NP_000076.2; NP_004061.3	687; 687	Pfam	PF00571, PF00654; PF00654, PF00571	CBS domain, Voltage gated chloride channel; Voltage gated chloride channel, CBS domain	2.1E-5, 2.6E-73; 1.4E-74, 9.1E-5	IPR000644, IPR001807; IPR001807, IPR000644	CBS domain, Chloride channel, voltage gated; Chloride channel, voltage gated, CBS domain
NP_000991.1	NP_000991.1; NP_443201.1	51; 51	Pfam	PF00832; PF00832	Ribosomal L39 protein; Ribosomal L39 protein	5.2E-24; 1.0E-22	IPR000077; IPR000077	Ribosomal protein L39e; Ribosomal protein L39e
NP_000992.1	NP_000992.1; NP_066357.3	106; 106	Pfam	PF00935; PF00935	Ribosomal protein L44; Ribosomal protein L44	1.7E-38; 1.2E-38	IPR000552; IPR000552	Ribosomal protein L44e; Ribosomal protein L44e
NP_000998.1	NP_000998.1; NP_000999.1; NP_001034656.1	263; 263; 263	Pfam	PF00900, PF00467, PF16121, PF01479, PF08071; PF00467, PF00900, PF16121, PF08071; PF00467, PF00900, PF08071, PF16121	Ribosomal family S4e, KOW motif, 40S ribosomal protein S4 C-terminus, S4 domain, RS4NT (NUC023) domain; KOW motif, Ribosomal family S4e, 40S ribosomal protein S4 C-terminus, RS4NT (NUC023) domain; KOW motif, Ribosomal family S4e, RS4NT (NUC023) domain, 40S ribosomal protein S4 C-terminus	1.7E-38, 2.0E-5, 3.8E-29, 7.9E-6, 2.3E-21; 1.8E-5, 2.2E-36, 8.1E-28, 2.3E-21; 8.6E-6, 1.8E-36, 2.3E-21, 2.5E-28	IPR013845, IPR005824, IPR032277, IPR002942, IPR013843; IPR005824, IPR013845, IPR032277, IPR013843; IPR005824, IPR013845, IPR013843, IPR032277	Ribosomal protein S4e, central region, KOW, 40S ribosomal protein S4, C-terminal domain, RNA-binding S4 domain, Ribosomal protein S4e, N-terminal; KOW, Ribosomal protein S4e, central region, 40S ribosomal protein S4, C-terminal domain, Ribosomal protein S4e, N-terminal; KOW, Ribosomal protein S4e, central region, Ribosomal protein S4e, N-terminal, 40S ribosomal protein S4, C-terminal domain
NP_001021.1	NP_001021.1; NP_057004.1	84; 84	Pfam	PF01667; PF01667	Ribosomal protein S27; Ribosomal protein S27	1.5E-30; 1.5E-30	IPR000592; IPR000592	Ribosomal protein S27; Ribosomal protein S27
NP_001045.2	NP_001045.2; NP_808220.1; NP_001017390.1	295; 295; 295	Pfam	PF00685; PF00685; PF00685	Sulfotransferase domain; Sulfotransferase domain; Sulfotransferase domain	8.0E-85; 7.3E-85; 7.3E-85	IPR000863; IPR000863; IPR000863	Sulfotransferase domain; Sulfotransferase domain; Sulfotransferase domain
NP_001060.1	NP_001060.1; NP_821080.1; NP_006079.1; NP_006077.2; NP_115914.1; NP_817124.1; NP_001345618.1	445; 445; 445; 450; 446; 444; 444	Pfam	PF03953, PF00091; PF00091, PF03953; PF00091, PF03953; PF00091, PF03953; PF03953, PF00091; PF03953, PF00091; PF03953, PF00091	Tubulin C-terminal domain, Tubulin/FtsZ family, GTPase domain; Tubulin/FtsZ family, GTPase domain, Tubulin C-terminal domain; Tubulin/FtsZ family, GTPase domain, Tubulin C-terminal domain; Tubulin/FtsZ family, GTPase domain, Tubulin C-terminal domain; Tubulin C-terminal domain, Tubulin/FtsZ family, GTPase domain; Tubulin C-terminal domain, Tubulin/FtsZ family, GTPase domain; Tubulin C-terminal domain, Tubulin/FtsZ family, GTPase domain	8.3E-43, 1.5E-68; 2.7E-69, 8.3E-43; 8.7E-69, 2.0E-42; 1.9E-69, 8.2E-42; 9.4E-41, 9.8E-70; 3.0E-40, 1.3E-70; 1.3E-38, 1.3E-67	IPR018316, IPR003008; IPR003008, IPR018316; IPR003008, IPR018316; IPR003008, IPR018316; IPR018316, IPR003008; IPR018316, IPR003008; IPR018316, IPR003008	Tubulin/FtsZ, 2-layer sandwich domain, Tubulin/FtsZ, GTPase domain; Tubulin/FtsZ, GTPase domain, Tubulin/FtsZ, 2-layer sandwich domain; Tubulin/FtsZ, GTPase domain, Tubulin/FtsZ, 2-layer sandwich domain; Tubulin/FtsZ, GTPase domain, Tubulin/FtsZ, 2-layer sandwich domain; Tubulin/FtsZ, 2-layer sandwich domain, Tubulin/FtsZ, GTPase domain; Tubulin/FtsZ, 2-layer sandwich domain, Tubulin/FtsZ, GTPase domain; Tubulin/FtsZ, 2-layer sandwich domain, Tubulin/FtsZ, GTPase domain
NP_001064.1	NP_001064.1; NP_444267.1; NP_001066.1	529; 529; 528	Pfam	PF00201; PF00201; PF00201	UDP-glucoronosyl and UDP-glucosyl transferase; UDP-glucoronosyl and UDP-glucosyl transferase; UDP-glucoronosyl and UDP-glucosyl transferase	6.6E-258; 2.6E-251; 6.7E-259	IPR002213; IPR002213; IPR002213	UDP-glucuronosyl/UDP-glucosyltransferase; UDP-glucuronosyl/UDP-glucosyltransferase; UDP-glucuronosyl/UDP-glucosyltransferase
NP_001067.2	NP_001067.2; NP_001068.1	530; 530	Pfam	PF00201; PF00201	UDP-glucoronosyl and UDP-glucosyl transferase; UDP-glucoronosyl and UDP-glucosyl transferase	7.3E-265; 1.3E-265	IPR002213; IPR002213	UDP-glucuronosyl/UDP-glucosyltransferase; UDP-glucuronosyl/UDP-glucosyltransferase
NP_001073.3	NP_001073.3; NP_001356625.1	520; 520	Pfam	PF00067; PF00067	Cytochrome P450; Cytochrome P450	3.8E-136; 1.3E-137	IPR001128; IPR001128	Cytochrome P450; Cytochrome P450
NP_001091.1	NP_001091.1; NP_005150.1; NP_001307784.1; NP_001606.1; NP_001186883.1; NP_001092.1; NP_001017992.1	377; 377; 377; 376; 375; 375; 376	Pfam	PF00022; PF00022; PF00022; PF00022; PF00022; PF00022; PF00022	Actin; Actin; Actin; Actin; Actin; Actin; Actin	8.5E-149; 5.5E-149; 1.4E-148; 6.2E-148; 3.8E-151; 1.1E-150; 9.6E-147	IPR004000; IPR004000; IPR004000; IPR004000; IPR004000; IPR004000; IPR004000	Actin family; Actin family; Actin family; Actin family; Actin family; Actin family; Actin family
NP_001143.2	NP_001143.2; NP_001627.2	298; 298	Pfam	PF00153; PF00153	Mitochondrial carrier protein; Mitochondrial carrier protein	8.2E-25; 1.3E-25	IPR018108; IPR018108	Mitochondrial substrate/solute carrier; Mitochondrial substrate/solute carrier
NP_001308.1	NP_001308.1; NP_066271.1	217; 217	Pfam	PF00103; PF00103	Somatotropin hormone family; Somatotropin hormone family	1.2E-62; 1.2E-62	IPR001400; IPR001400	Somatotropin/prolactin; Somatotropin/prolactin
NP_001318.1	NP_001318.1; NP_640343.1	180; 180	Pfam	PF09341; PF09341	Transcription factor Pcc1; Transcription factor Pcc1	9.1E-12; 9.1E-12	IPR015419; IPR015419	CTAG/Pcc1 family; CTAG/Pcc1 family
NP_001344.2	NP_001344.2; NP_001380321.1	323; 323	Pfam	PF00248; PF00248	Aldo/keto reductase family; Aldo/keto reductase family	8.9E-58; 9.3E-59	IPR023210; IPR023210	NADP-dependent oxidoreductase domain; NADP-dependent oxidoreductase domain
NP_001347.3	NP_001347.3; NP_004651.2	662; 660	Pfam	PF00270, PF00271; PF00271, PF00270	DEAD/DEAH box helicase, Helicase conserved C-terminal domain; Helicase conserved C-terminal domain, DEAD/DEAH box helicase	8.0E-51, 2.2E-31; 1.5E-30, 1.0E-50	IPR011545, IPR001650; IPR001650, IPR011545	DEAD/DEAH box helicase domain, Helicase, C-terminal; Helicase, C-terminal, DEAD/DEAH box helicase domain
NP_001393.1	NP_001393.1; NP_001949.1	462; 463	Pfam	PF00009, PF03143, PF03144; PF00009, PF03143, PF03144	Elongation factor Tu GTP binding domain, Elongation factor Tu C-terminal domain, Elongation factor Tu domain 2; Elongation factor Tu GTP binding domain, Elongation factor Tu C-terminal domain, Elongation factor Tu domain 2	4.6E-54, 2.3E-31, 5.2E-15; 8.1E-55, 1.5E-31, 1.4E-14	IPR000795, IPR004160, IPR004161; IPR000795, IPR004160, IPR004161	Translational (tr)-type GTP-binding domain, Translation elongation factor EFTu/EF1A, C-terminal, Translation elongation factor EFTu-like, domain 2; Translational (tr)-type GTP-binding domain, Translation elongation factor EFTu/EF1A, C-terminal, Translation elongation factor EFTu-like, domain 2
NP_001403.1	NP_001403.1; NP_004672.2	144; 144	Pfam	PF01176; PF01176	Translation initiation factor 1A / IF-1; Translation initiation factor 1A / IF-1	7.6E-22; 2.0E-21	IPR006196; IPR006196	RNA-binding domain, S1, IF1 type; RNA-binding domain, S1, IF1 type
NP_001406.1	NP_001406.1; NP_001344663.1	472; 472	Pfam	PF00009, PF09173, PF03144; PF03144, PF09173, PF00009	Elongation factor Tu GTP binding domain, Initiation factor eIF2 gamma, C terminal, Elongation factor Tu domain 2; Elongation factor Tu domain 2, Initiation factor eIF2 gamma, C terminal, Elongation factor Tu GTP binding domain	1.2E-21, 2.7E-34, 1.6E-12; 9.1E-11, 2.7E-34, 1.3E-21	IPR000795, IPR015256, IPR004161; IPR004161, IPR015256, IPR000795	Translational (tr)-type GTP-binding domain, Initiation factor eIF2 gamma, C-terminal, Translation elongation factor EFTu-like, domain 2; Translation elongation factor EFTu-like, domain 2, Initiation factor eIF2 gamma, C-terminal, Translational (tr)-type GTP-binding domain
NP_001407.1	NP_001407.1; NP_001958.2	406; 407	Pfam	PF00270, PF00271; PF00271, PF00270	DEAD/DEAH box helicase, Helicase conserved C-terminal domain; Helicase conserved C-terminal domain, DEAD/DEAH box helicase	3.7E-44, 8.2E-31; 8.5E-31, 8.3E-44	IPR011545, IPR001650; IPR001650, IPR011545	DEAD/DEAH box helicase domain, Helicase, C-terminal; Helicase, C-terminal, DEAD/DEAH box helicase domain
NP_001518.3	NP_001518.3; NP_004955.2	488; 482	Pfam	PF00850; PF00850	Histone deacetylase domain; Histone deacetylase domain	4.6E-87; 5.1E-87	IPR023801; IPR023801	Histone deacetylase domain; Histone deacetylase domain
NP_001623.3	NP_001623.3; NP_112603.2	535; 532	Pfam	PF00245; PF00245	Alkaline phosphatase; Alkaline phosphatase	1.8E-190; 4.1E-189	IPR001952; IPR001952	Alkaline phosphatase; Alkaline phosphatase
NP_001655.1	NP_001655.1; NP_001036143.1	193; 193	Pfam	PF00071; PF00071	Ras family; Ras family	1.5E-58; 7.9E-58	IPR001806; IPR001806	Small GTPase; Small GTPase
NP_001897.4	NP_001897.4; NP_001020371.3	263; 263	Pfam	PF00089; PF00089	Trypsin; Trypsin	4.9E-73; 1.2E-72	IPR001254; IPR001254	Serine proteases, trypsin domain; Serine proteases, trypsin domain
NP_002058.2	NP_002058.2; NP_002063.2	359; 359	Pfam	PF00503; PF00503	G-protein alpha subunit; G-protein alpha subunit	1.0E-115; 5.8E-119	IPR001019; IPR001019	Guanine nucleotide binding protein (G-protein), alpha subunit; Guanine nucleotide binding protein (G-protein), alpha subunit
NP_002060.4	NP_002060.4; NP_006487.1	354; 354	Pfam	PF00503; PF00503	G-protein alpha subunit; G-protein alpha subunit	6.4E-126; 2.1E-123	IPR001019; IPR001019	Guanine nucleotide binding protein (G-protein), alpha subunit; Guanine nucleotide binding protein (G-protein), alpha subunit
NP_002097.1	NP_002097.1; NP_036544.1	128; 128	Pfam	PF00125, PF16211; PF00125, PF16211	Core histone H2A/H2B/H3/H4, C-terminus of histone H2A; Core histone H2A/H2B/H3/H4, C-terminus of histone H2A	1.5E-19, 5.3E-13; 4.7E-19, 3.5E-13	IPR007125, IPR032454; IPR007125, IPR032454	Histone H2A/H2B/H3, Histone H2A, C-terminal domain; Histone H2A/H2B/H3, Histone H2A, C-terminal domain
NP_002130.2	NP_002130.2; NP_062556.2	391; 390	Pfam	PF08081, PF00076; PF08081, PF00076	RBM1CTR (NUC064) family, RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain); RBM1CTR (NUC064) family, RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)	4.5E-23, 4.9E-23; 6.9E-23, 6.1E-23	IPR012604, IPR000504; IPR012604, IPR000504	RBM1CTR, RNA recognition motif domain; RBM1CTR, RNA recognition motif domain
NP_002162.1	NP_002162.1; NP_066546.1; NP_067091.1; NP_066401.2; NP_002166.2	189; 189; 189; 189; 189	Pfam	PF00143; PF00143; PF00143; PF00143; PF00143	Interferon alpha/beta domain; Interferon alpha/beta domain; Interferon alpha/beta domain; Interferon alpha/beta domain; Interferon alpha/beta domain	4.9E-67; 1.4E-67; 3.7E-67; 4.1E-66; 2.3E-66	IPR000471; IPR000471; IPR000471; IPR000471; IPR000471	Interferon alpha/beta/delta; Interferon alpha/beta/delta; Interferon alpha/beta/delta; Interferon alpha/beta/delta; Interferon alpha/beta/delta
NP_002246.5	NP_002246.5; NP_001355182.1	377; 377	Pfam	PF00047; PF00047	Immunoglobulin domain; Immunoglobulin domain	5.4E-14; 2.0E-13	IPR013151; IPR013151	Immunoglobulin; Immunoglobulin
NP_002268.2	NP_002268.2; XP_011523095.1; NP_004129.2; NP_002270.1	416; 412; 404; 404	Pfam	PF00038; PF00038; PF00038; PF00038	Intermediate filament protein; Intermediate filament protein; Intermediate filament protein; Intermediate filament protein	6.1E-107; 2.1E-104; 5.8E-107; 1.3E-104	IPR039008; IPR039008; IPR039008; IPR039008	Intermediate filament, rod domain; Intermediate filament, rod domain; Intermediate filament, rod domain; Intermediate filament, rod domain
NP_002298.1	NP_001035972.1; NP_002298.1	136; 136	Pfam	PF00337; PF00337	Galactoside-binding lectin; Galactoside-binding lectin	4.4E-37; 4.4E-37	IPR001079; IPR001079	Galectin, carbohydrate recognition domain; Galectin, carbohydrate recognition domain
NP_002361.1	NP_002361.1; NP_060518.1	146; 148	Pfam	PF02792; PF02792	Mago nashi protein; Mago nashi protein	3.7E-78; 3.9E-78	IPR004023; IPR004023	Mago nashi protein; Mago nashi protein
NP_002462.2	NP_002462.2; XP_016876829.1	1939; 1935	Pfam	PF01576, PF02736, PF00063; PF00063, PF02736, PF01576	Myosin tail, Myosin N-terminal SH3-like domain, Myosin head (motor domain); Myosin head (motor domain), Myosin N-terminal SH3-like domain, Myosin tail	1.9E-158, 2.3E-14, 2.1E-296; 1.5E-292, 2.9E-13, 2.2E-164	IPR002928, IPR004009, IPR001609; IPR001609, IPR004009, IPR002928	Myosin tail, Myosin, N-terminal, SH3-like, Myosin head, motor domain; Myosin head, motor domain, Myosin, N-terminal, SH3-like, Myosin tail
NP_002463.2	NP_002463.2; NP_001093582.1; XP_016880164.1; XP_016880165.1	1937; 1941; 1939; 1939	Pfam	PF02736, PF00063, PF01576; PF01576, PF02736, PF00063; PF00063, PF02736, PF01576; PF02736, PF01576, PF00063	Myosin N-terminal SH3-like domain, Myosin head (motor domain), Myosin tail; Myosin tail, Myosin N-terminal SH3-like domain, Myosin head (motor domain); Myosin head (motor domain), Myosin N-terminal SH3-like domain, Myosin tail; Myosin N-terminal SH3-like domain, Myosin tail, Myosin head (motor domain)	3.4E-11, 1.0E-285, 6.2E-160; 1.2E-164, 2.6E-13, 7.7E-287; 2.0E-285, 5.5E-13, 9.7E-163; 1.1E-12, 1.2E-164, 7.9E-287	IPR004009, IPR001609, IPR002928; IPR002928, IPR004009, IPR001609; IPR001609, IPR004009, IPR002928; IPR004009, IPR002928, IPR001609	Myosin, N-terminal, SH3-like, Myosin head, motor domain, Myosin tail; Myosin tail, Myosin, N-terminal, SH3-like, Myosin head, motor domain; Myosin head, motor domain, Myosin, N-terminal, SH3-like, Myosin tail; Myosin, N-terminal, SH3-like, Myosin tail, Myosin head, motor domain
NP_002559.2	NP_002559.2; NP_112241.2	636; 631	Pfam	PF00076, PF00658; PF00658, PF00076	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain), Poly-adenylate binding protein, unique domain; Poly-adenylate binding protein, unique domain, RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)	9.8E-25, 1.1E-30; 1.5E-29, 9.7E-25	IPR000504, IPR002004; IPR002004, IPR000504	RNA recognition motif domain, Polyadenylate-binding protein/Hyperplastic disc protein; Polyadenylate-binding protein/Hyperplastic disc protein, RNA recognition motif domain
NP_002611.1	NP_002611.1; NP_001350281.1	104; 110	Pfam	PF00048; PF00048	Small cytokines (intecrine/chemokine), interleukin-8 like; Small cytokines (intecrine/chemokine), interleukin-8 like	4.8E-13; 1.4E-14	IPR001811; IPR001811	Chemokine interleukin-8-like domain; Chemokine interleukin-8-like domain
NP_002620.1	NP_002620.1; NP_001025062.1	254; 254	Pfam	PF00300; PF00300	Histidine phosphatase superfamily (branch 1); Histidine phosphatase superfamily (branch 1)	9.2E-27; 1.8E-24	IPR013078; IPR013078	Histidine phosphatase superfamily, clade-1; Histidine phosphatase superfamily, clade-1
NP_002656.1	NP_002656.1; NP_001027564.1	96; 96	Pfam	PF00024; PF00024	PAN domain; PAN domain	2.2E-14; 2.2E-14	IPR003609; IPR003609	PAN/Apple domain; PAN/Apple domain
NP_002692.2	NP_002692.2; NP_001382674.1	360; 359	Pfam	PF00046, PF00157; PF00157, PF00046	Homeodomain, Pou domain - N-terminal to homeobox domain; Pou domain - N-terminal to homeobox domain, Homeodomain	1.4E-18, 2.4E-36; 7.8E-35, 8.7E-16	IPR001356, IPR000327; IPR000327, IPR001356	Homeobox domain, POU-specific domain; POU-specific domain, Homeobox domain
NP_002706.1	NP_002706.1; NP_001009552.1	309; 309	Pfam	PF00149; PF00149	Calcineurin-like phosphoesterase; Calcineurin-like phosphoesterase	1.0E-34; 3.0E-35	IPR004843; IPR004843	Calcineurin-like phosphoesterase domain, ApaH type; Calcineurin-like phosphoesterase domain, ApaH type
NP_002755.1	NP_002755.1; NP_001034180.1; NP_787082.1	318; 321; 318	Pfam	PF14572, PF13793; PF14572, PF13793; PF13793, PF14572	Phosphoribosyl synthetase-associated domain, N-terminal domain of ribose phosphate pyrophosphokinase; Phosphoribosyl synthetase-associated domain, N-terminal domain of ribose phosphate pyrophosphokinase; N-terminal domain of ribose phosphate pyrophosphokinase, Phosphoribosyl synthetase-associated domain	6.0E-38, 2.9E-48; 6.0E-38, 3.6E-45; 1.4E-47, 1.7E-37	IPR005946, IPR029099; IPR005946, IPR029099; IPR029099, IPR005946	Ribose-phosphate pyrophosphokinase, Ribose-phosphate pyrophosphokinase, N-terminal domain; Ribose-phosphate pyrophosphokinase, Ribose-phosphate pyrophosphokinase, N-terminal domain; Ribose-phosphate pyrophosphokinase, N-terminal domain, Ribose-phosphate pyrophosphokinase
NP_002773.1	NP_002773.1; NP_066296.2; NP_874366.1; NP_001284702.1; NP_002774.2	435; 428; 426; 428; 419	Pfam	PF13895, PF07686; PF13895, PF07686; PF07686, PF13927, PF13895; PF07686, PF13895, PF13927; PF13927, PF13895, PF07686	Immunoglobulin domain, Immunoglobulin V-set domain; Immunoglobulin domain, Immunoglobulin V-set domain; Immunoglobulin V-set domain, Immunoglobulin domain, Immunoglobulin domain; Immunoglobulin V-set domain, Immunoglobulin domain, Immunoglobulin domain; Immunoglobulin domain, Immunoglobulin domain, Immunoglobulin V-set domain	1.7E-15, 2.5E-11; 6.4E-17, 2.9E-12; 2.8E-12, 1.4E-7, 2.0E-17; 1.9E-12, 1.8E-15, 2.3E-7; 4.8E-7, 2.6E-16, 8.4E-12	IPR007110, IPR013106; IPR007110, IPR013106; IPR013106, -, IPR007110; IPR013106, IPR007110, -; -, IPR007110, IPR013106	Immunoglobulin-like domain, Immunoglobulin V-set domain; Immunoglobulin-like domain, Immunoglobulin V-set domain; Immunoglobulin V-set domain, -, Immunoglobulin-like domain; Immunoglobulin V-set domain, Immunoglobulin-like domain, -; -, Immunoglobulin-like domain, Immunoglobulin V-set domain
NP_002776.3	NP_002776.3; NP_112536.2	335; 335	Pfam	PF13895, PF13927, PF07686; PF07686, PF13895, PF13927	Immunoglobulin domain, Immunoglobulin domain, Immunoglobulin V-set domain; Immunoglobulin V-set domain, Immunoglobulin domain, Immunoglobulin domain	3.5E-16, 4.9E-8, 6.7E-12; 3.7E-12, 2.4E-17, 1.8E-8	IPR007110, -, IPR013106; IPR013106, IPR007110, -	Immunoglobulin-like domain, -, Immunoglobulin V-set domain; Immunoglobulin V-set domain, Immunoglobulin-like domain, -
